date,open,high,low,close,volume,dividends,stock_splits,capital_gains,ticker,interval
2018-11-01 00:00:00-04:00,40.31907042031903,40.384891510009766,40.258868129455166,40.384891510009766,1700,0.0,0.0,0.0,BGRN,1mo
2018-12-01 00:00:00-05:00,40.38488476008655,40.728436741236294,40.38488476008655,40.69231414794922,32300,0.107,0.0,0.0,BGRN,1mo
2019-01-01 00:00:00-05:00,40.778603618968496,41.44222684216164,40.778603618968496,41.434181213378906,46700,0.0,0.0,0.0,BGRN,1mo
2019-02-01 00:00:00-05:00,41.329611143274434,41.65136570765096,41.329611143274434,41.4904899597168,13600,0.07,0.0,0.0,BGRN,1mo
2019-03-01 00:00:00-05:00,41.506676626547566,42.457149986656326,41.42612928661322,42.361297607421875,20700,0.065,0.0,0.0,BGRN,1mo
2019-04-01 00:00:00-04:00,42.33328158125847,42.56716476919185,42.21230507850375,42.55910110473633,100000,0.071,0.0,0.0,BGRN,1mo
2019-05-01 00:00:00-04:00,42.57626738162404,43.165809395642654,42.50358395081516,43.060821533203125,508600,0.08,0.0,0.0,BGRN,1mo
2019-06-01 00:00:00-04:00,43.12621112488277,43.959293365478516,43.02106383414597,43.959293365478516,58000,0.089,0.0,0.0,BGRN,1mo
2019-07-01 00:00:00-04:00,43.99226266546502,44.656602305744194,43.73300832245634,44.58368682861328,111600,0.098,0.0,0.0,BGRN,1mo
2019-08-01 00:00:00-04:00,44.63987884053593,47.77278719636299,44.56683164222405,45.54890823364258,135700,0.115,0.0,0.0,BGRN,1mo
2019-09-01 00:00:00-04:00,45.628038202768856,45.628038202768856,44.69351880970498,45.24577331542969,70600,0.125,0.0,0.0,BGRN,1mo
2019-10-01 00:00:00-04:00,45.1348297791515,45.37122389529058,44.62943792808249,45.0044059753418,105600,0.137,0.0,0.0,BGRN,1mo
2019-11-01 00:00:00-04:00,44.96025047429663,44.96025047429663,44.46178119035081,44.87853240966797,135700,0.149,0.0,0.0,BGRN,1mo
2019-12-01 00:00:00-05:00,44.434610599400024,44.69680978714604,43.92660006384973,43.94708251953125,119500,0.966,0.0,0.0,BGRN,1mo
2020-01-01 00:00:00-05:00,44.93959964459617,46.90716449507989,44.82283059491974,45.819541931152344,306500,0.0,0.0,0.0,BGRN,1mo
2020-02-01 00:00:00-05:00,45.69027689885616,46.21824183913892,45.38167240767671,46.15568923950195,255800,0.167,0.0,0.0,BGRN,1mo
2020-03-01 00:00:00-05:00,46.30645667097663,46.93391545075366,43.448590775642494,44.398983001708984,461400,0.166,0.0,0.0,BGRN,1mo
2020-04-01 00:00:00-04:00,44.59969489099513,45.54790808541179,44.08782583504122,45.497562408447266,409300,0.15,0.0,0.0,BGRN,1mo
2020-05-01 00:00:00-04:00,45.41614940331379,45.601278823982966,45.0425199616442,45.5592041015625,198300,0.128,0.0,0.0,BGRN,1mo
2020-06-01 00:00:00-04:00,45.599530396981685,46.30806927079542,45.41395969598312,46.1646728515625,369300,0.101,0.0,0.0,BGRN,1mo
2020-07-01 00:00:00-04:00,46.166443921305685,47.045319390737355,46.0810898841191,46.90757369995117,277100,0.066,0.0,0.0,BGRN,1mo
2020-08-01 00:00:00-04:00,46.90751826092084,47.1528866515728,46.62238587336229,46.653690338134766,259400,0.04,0.0,0.0,BGRN,1mo
2020-09-01 00:00:00-04:00,46.58573371767622,47.16149367553328,46.58573371767622,47.068355560302734,221500,0.025,0.0,0.0,BGRN,1mo
2020-10-01 00:00:00-04:00,47.05581929865117,47.46242185550304,46.97111164441157,47.35230255126953,505500,0.02,0.0,0.0,BGRN,1mo
2020-11-01 00:00:00-04:00,47.267659688705905,47.55577392065883,46.98039561823805,47.513404846191406,371300,0.16,0.0,0.0,BGRN,1mo
2020-12-01 00:00:00-05:00,47.57329984291379,47.87923798367717,47.41183393165831,47.80275344848633,549800,0.0,0.0,0.0,BGRN,1mo
2021-01-01 00:00:00-05:00,47.83675961036718,47.86225338138315,47.31836465415897,47.513824462890625,698100,0.0,0.0,0.0,BGRN,1mo
2021-02-01 00:00:00-05:00,47.51380766865498,47.556298352607,46.24246838022781,46.6469841003418,540300,0.0,0.0,0.0,BGRN,1mo
2021-03-01 00:00:00-05:00,46.76597649787466,46.8424610538277,46.23908469121631,46.45579147338867,517500,0.0,0.0,0.0,BGRN,1mo
2021-04-01 00:00:00-04:00,46.55350203843669,46.75746185728858,46.25606401285199,46.34104537963867,519900,0.0,0.0,0.0,BGRN,1mo
