symbol,name,exchange,yahoo_symbol,sector,industry
ENB,Enbridge Inc.,TSX,ENB.TO,,
SHOP,Shopify Inc.,TSX,SHOP.TO,,
CNR,Canadian National Railway,TSX,CNR.TO,,
TRP,TC Energy Corporation,TSX,TRP.TO,,
BMO,Bank of Montreal,TSX,BMO.TO,,
BNS,Bank of Nova Scotia,TSX,BNS.TO,,
CP,Canadian Pacific Railway,TSX,CP.TO,,
LUN,Lundin Mining Corporation,TSX,LUN.TO,,
CSU,Constellation Software Inc.,TSX,CSU.TO,,
ATD,Alimentation Couche-Tard Inc.,TSX,ATD.TO,,
FNV,Franco-Nevada Corporation,TSX,FNV.TO,,
SU,Suncor Energy Inc.,TSX,SU.TO,,
ABX,Barrick Gold Corporation,TSX,ABX.TO,,
WCN,Waste Connections Inc.,TSX,WCN.TO,,
WPM,Wheaton Precious Metals Corp.,TSX,WPM.TO,,
GIB,CGI Inc.,TSX,GIB.TO,,
CM,Canadian Imperial Bank of Commerce,TSX,CM.TO,,
NGT,Newmont Corporation,TSX,NGT.TO,,
VUL,Vulcan Energy Resources Limited,TSXV,VUL.V,,
NILI,Nili Minerals Corp.,TSXV,NILI.V,,
GLXY,Galaxy Digital Holdings Ltd.,TSXV,GLXY.V,,
HIVE,HIVE Blockchain Technologies Ltd.,TSXV,HIVE.V,,
BITF,Bitfarms Ltd.,TSXV,BITF.V,,
