symbol,base,quote,exchange,type,active
AVA/USDT,AVA,USDT,kucoin,spot,True
FET/BTC,FET,BTC,kucoin,spot,True
FET/ETH,FET,ETH,kucoin,spot,True
ANKR/BTC,ANKR,BTC,kucoin,spot,True
XMR/BTC,XMR,BTC,kucoin,spot,True
XMR/ETH,XMR,ETH,kucoin,spot,True
CRO/BTC,CRO,BTC,kucoin,spot,True
MTV/USDT,MTV,USDT,kucoin,spot,True
TEL/USDT,TEL,USDT,kucoin,spot,True
TT/USDT,TT,USDT,kucoin,spot,True
AERGO/USDT,AERGO,USDT,kucoin,spot,True
XMR/USDT,XMR,USDT,kucoin,spot,True
ATOM/BTC,ATOM,BTC,kucoin,spot,True
ATOM/ETH,ATOM,ETH,kucoin,spot,True
ATOM/USDT,ATOM,USDT,kucoin,spot,True
ETN/USDT,ETN,USDT,kucoin,spot,True
WAN/USDT,WAN,USDT,kucoin,spot,True
VSYS/USDT,VSYS,USDT,kucoin,spot,True
CHR/USDT,CHR,USDT,kucoin,spot,True
COTI/BTC,COTI,BTC,kucoin,spot,True
COTI/USDT,COTI,USDT,kucoin,spot,True
BNB/BTC,BNB,BTC,kucoin,spot,True
BNB/USDT,BNB,USDT,kucoin,spot,True
ALGO/BTC,ALGO,BTC,kucoin,spot,True
ALGO/ETH,ALGO,ETH,kucoin,spot,True
ALGO/USDT,ALGO,USDT,kucoin,spot,True
XEM/USDT,XEM,USDT,kucoin,spot,True
XTZ/BTC,XTZ,BTC,kucoin,spot,True
XTZ/USDT,XTZ,USDT,kucoin,spot,True
ZEC/BTC,ZEC,BTC,kucoin,spot,True
ZEC/USDT,ZEC,USDT,kucoin,spot,True
ADA/BTC,ADA,BTC,kucoin,spot,True
ADA/USDT,ADA,USDT,kucoin,spot,True
ARPA/USDT,ARPA,USDT,kucoin,spot,True
CHZ/BTC,CHZ,BTC,kucoin,spot,True
CHZ/USDT,CHZ,USDT,kucoin,spot,True
WIN/BTC,WIN,BTC,kucoin,spot,True
WIN/USDT,WIN,USDT,kucoin,spot,True
BTT/USDT,BTT,USDT,kucoin,spot,True
ONE/BTC,ONE,BTC,kucoin,spot,True
ONE/USDT,ONE,USDT,kucoin,spot,True
LUNA/USDT,LUNA,USDT,kucoin,spot,True
SXP/USDT,SXP,USDT,kucoin,spot,True
WIN/TRX,WIN,TRX,kucoin,spot,True
DAG/USDT,DAG,USDT,kucoin,spot,True
KPOL/USDT,KPOL,USDT,kucoin,spot,True
KSM/USDT,KSM,USDT,kucoin,spot,True
DASH/USDT,DASH,USDT,kucoin,spot,True
SENSO/USDT,SENSO,USDT,kucoin,spot,True
XDB/USDT,XDB,USDT,kucoin,spot,True
DGB/USDT,DGB,USDT,kucoin,spot,True
STX/BTC,STX,BTC,kucoin,spot,True
STX/USDT,STX,USDT,kucoin,spot,True
COMP/USDT,COMP,USDT,kucoin,spot,True
CRO/USDT,CRO,USDT,kucoin,spot,True
EWT/BTC,EWT,BTC,kucoin,spot,True
WAVES/USDT,WAVES,USDT,kucoin,spot,True
WAVES/BTC,WAVES,BTC,kucoin,spot,True
MLK/USDT,MLK,USDT,kucoin,spot,True
JST/USDT,JST,USDT,kucoin,spot,True
SUKU/USDT,SUKU,USDT,kucoin,spot,True
DIA/USDT,DIA,USDT,kucoin,spot,True
LINK/BTC,LINK,BTC,kucoin,spot,True
LINK/USDT,LINK,USDT,kucoin,spot,True
DOT/USDT,DOT,USDT,kucoin,spot,True
DOT/BTC,DOT,BTC,kucoin,spot,True
EWT/USDT,EWT,USDT,kucoin,spot,True
CKB/BTC,CKB,BTC,kucoin,spot,True
CKB/USDT,CKB,USDT,kucoin,spot,True
UMA/USDT,UMA,USDT,kucoin,spot,True
ALEPH/USDT,ALEPH,USDT,kucoin,spot,True
VELO/USDT,VELO,USDT,kucoin,spot,True
SUN/USDT,SUN,USDT,kucoin,spot,True
YFI/USDT,YFI,USDT,kucoin,spot,True
UNI/USDT,UNI,USDT,kucoin,spot,True
UOS/USDT,UOS,USDT,kucoin,spot,True
NIM/USDT,NIM,USDT,kucoin,spot,True
DEGO/USDT,DEGO,USDT,kucoin,spot,True
FIL/USDT,FIL,USDT,kucoin,spot,True
AAVE/USDT,AAVE,USDT,kucoin,spot,True
AAVE/BTC,AAVE,BTC,kucoin,spot,True
IOST/ETH,IOST,ETH,kucoin,spot,True
KCS/USDT,KCS,USDT,kucoin,spot,True
SNX/ETH,SNX,ETH,kucoin,spot,True
KCS/ETH,KCS,ETH,kucoin,spot,True
TEL/BTC,TEL,BTC,kucoin,spot,True
XYO/ETH,XYO,ETH,kucoin,spot,True
VET/BTC,VET,BTC,kucoin,spot,True
KCS/BTC,KCS,BTC,kucoin,spot,True
ONT/BTC,ONT,BTC,kucoin,spot,True
DAG/ETH,DAG,ETH,kucoin,spot,True
WAN/BTC,WAN,BTC,kucoin,spot,True
KNC/ETH,KNC,ETH,kucoin,spot,True
