symbol,base,quote,exchange,type,active
ALEO/USD,ALEO,USD,kraken,spot,True
ALEO/USDT,ALEO,USDT,kraken,spot,True
ALGO/ETH,ALGO,ETH,kraken,spot,True
ALGO/EUR,ALGO,EUR,kraken,spot,True
ALGO/GBP,ALGO,GBP,kraken,spot,True
ALGO/USD,ALGO,USD,kraken,spot,True
ALGO/USDC,ALGO,USDC,kraken,spot,True
ALGO/USDT,ALGO,USDT,kraken,spot,True
ALGO/BTC,ALGO,BTC,kraken,spot,True
ALICE/EUR,ALICE,EUR,kraken,spot,True
ALICE/USD,ALICE,USD,kraken,spot,True
ALKIMI/EUR,ALKIMI,EUR,kraken,spot,True
ALKIMI/USD,ALKIMI,USD,kraken,spot,True
ALLO/EUR,ALLO,EUR,kraken,spot,False
ALLO/USD,ALLO,USD,kraken,spot,True
ALMANAK/EUR,ALMANAK,EUR,kraken,spot,True
ALMANAK/USD,ALMANAK,USD,kraken,spot,True
ALPHA/EUR,ALPHA,EUR,kraken,spot,True
ALPHA/USD,ALPHA,USD,kraken,spot,True
ALT/EUR,ALT,EUR,kraken,spot,True
ALTHEA/EUR,ALTHEA,EUR,kraken,spot,True
ALTHEA/USD,ALTHEA,USD,kraken,spot,True
ALT/USD,ALT,USD,kraken,spot,True
AMI/EUR,AMI,EUR,kraken,spot,True
AMI/USD,AMI,USD,kraken,spot,True
ANIME/EUR,ANIME,EUR,kraken,spot,True
ANIME/USD,ANIME,USD,kraken,spot,True
ANKR/EUR,ANKR,EUR,kraken,spot,True
ANKR/USD,ANKR,USD,kraken,spot,True
ANKR/BTC,ANKR,BTC,kraken,spot,True
ANLOG/EUR,ANLOG,EUR,kraken,spot,True
ANLOG/USD,ANLOG,USD,kraken,spot,True
ANON/EUR,ANON,EUR,kraken,spot,True
ANON/USD,ANON,USD,kraken,spot,True
APE/EUR,APE,EUR,kraken,spot,True
APENFT/EUR,APENFT,EUR,kraken,spot,True
APENFT/USD,APENFT,USD,kraken,spot,True
APE/USD,APE,USD,kraken,spot,True
APE/USDC,APE,USDC,kraken,spot,True
APE/USDT,APE,USDT,kraken,spot,True
API3/EUR,API3,EUR,kraken,spot,True
API3/USD,API3,USD,kraken,spot,True
APR/EUR,APR,EUR,kraken,spot,True
APR/USD,APR,USD,kraken,spot,True
APT/EUR,APT,EUR,kraken,spot,True
APT/USD,APT,USD,kraken,spot,True
APU/EUR,APU,EUR,kraken,spot,True
APU/USD,APU,USD,kraken,spot,True
ARB/EUR,ARB,EUR,kraken,spot,True
ARB/USD,ARB,USD,kraken,spot,True
ARC/EUR,ARC,EUR,kraken,spot,True
ARC/USD,ARC,USD,kraken,spot,True
AR/EUR,AR,EUR,kraken,spot,True
ARKM/EUR,ARKM,EUR,kraken,spot,True
ARKM/USD,ARKM,USD,kraken,spot,True
ARPA/EUR,ARPA,EUR,kraken,spot,True
ARPA/USD,ARPA,USD,kraken,spot,True
ART/EUR,ART,EUR,kraken,spot,True
ART/USD,ART,USD,kraken,spot,True
AR/USD,AR,USD,kraken,spot,True
ASRR/EUR,ASRR,EUR,kraken,spot,True
ASRR/USD,ASRR,USD,kraken,spot,True
ASTER/EUR,ASTER,EUR,kraken,spot,True
ASTER/USD,ASTER,USD,kraken,spot,True
ASTR/EUR,ASTR,EUR,kraken,spot,True
ASTR/USD,ASTR,USD,kraken,spot,True
ATH/EUR,ATH,EUR,kraken,spot,True
ATH/USD,ATH,USD,kraken,spot,True
ATLAS/EUR,ATLAS,EUR,kraken,spot,True
ATLAS/USD,ATLAS,USD,kraken,spot,True
ATOM/ETH,ATOM,ETH,kraken,spot,True
ATOM/EUR,ATOM,EUR,kraken,spot,True
ATOM/GBP,ATOM,GBP,kraken,spot,True
ATOM/USD,ATOM,USD,kraken,spot,True
ATOM/USDC,ATOM,USDC,kraken,spot,True
ATOM/USDT,ATOM,USDT,kraken,spot,True
ATOM/BTC,ATOM,BTC,kraken,spot,True
AUCTION/EUR,AUCTION,EUR,kraken,spot,True
AUCTION/USD,AUCTION,USD,kraken,spot,True
AUDIO/EUR,AUDIO,EUR,kraken,spot,True
AUDIO/USD,AUDIO,USD,kraken,spot,True
AUD/JPY,AUD,JPY,kraken,spot,True
AUD/USD,AUD,USD,kraken,spot,True
AUDX/AUD,AUDX,AUD,kraken,spot,True
AUDX/USD,AUDX,USD,kraken,spot,True
AURA/EUR,AURA,EUR,kraken,spot,True
AURA/USD,AURA,USD,kraken,spot,True
A/USD,A,USD,kraken,spot,True
AUSD/EUR,AUSD,EUR,kraken,spot,False
AUSD/USD,AUSD,USD,kraken,spot,True
AVAAI/EUR,AVAAI,EUR,kraken,spot,True
AVAAI/USD,AVAAI,USD,kraken,spot,True
AVAX/EUR,AVAX,EUR,kraken,spot,True
AVAX/USD,AVAX,USD,kraken,spot,True
AVAX/USDC,AVAX,USDC,kraken,spot,True
AVAX/USDT,AVAX,USDT,kraken,spot,True
AVNT/EUR,AVNT,EUR,kraken,spot,True
AVNT/USD,AVNT,USD,kraken,spot,True
AXS/EUR,AXS,EUR,kraken,spot,True
AXS/USD,AXS,USD,kraken,spot,True
AZTEC/EUR,AZTEC,EUR,kraken,spot,True
AZTEC/USD,AZTEC,USD,kraken,spot,True
B2/EUR,B2,EUR,kraken,spot,True
B2/USD,B2,USD,kraken,spot,True
B3/EUR,B3,EUR,kraken,spot,True
B3/USD,B3,USD,kraken,spot,True
BABY/EUR,BABY,EUR,kraken,spot,True
BABY/USD,BABY,USD,kraken,spot,True
BADGER/EUR,BADGER,EUR,kraken,spot,True
BADGER/USD,BADGER,USD,kraken,spot,True
BAL/EUR,BAL,EUR,kraken,spot,True
BAL/USD,BAL,USD,kraken,spot,True
BANANAS31/EUR,BANANAS31,EUR,kraken,spot,True
BANANAS31/USD,BANANAS31,USD,kraken,spot,True
BAND/EUR,BAND,EUR,kraken,spot,True
BAND/USD,BAND,USD,kraken,spot,True
BASED/EUR,BASED,EUR,kraken,spot,True
BASED/USD,BASED,USD,kraken,spot,True
BAT/EUR,BAT,EUR,kraken,spot,True
BAT/USD,BAT,USD,kraken,spot,True
BCH/AUD,BCH,AUD,kraken,spot,True
BCH/ETH,BCH,ETH,kraken,spot,True
BCH/EUR,BCH,EUR,kraken,spot,True
BCH/GBP,BCH,GBP,kraken,spot,True
BCH/JPY,BCH,JPY,kraken,spot,True
BCH/USD,BCH,USD,kraken,spot,True
BCH/USDC,BCH,USDC,kraken,spot,True
BCH/USDT,BCH,USDT,kraken,spot,True
BCH/BTC,BCH,BTC,kraken,spot,True
BDXN/EUR,BDXN,EUR,kraken,spot,True
BDXN/USD,BDXN,USD,kraken,spot,True
BDX/USD,BDX,USD,kraken,spot,True
BEAM/EUR,BEAM,EUR,kraken,spot,True
BEAM/USD,BEAM,USD,kraken,spot,True
BERA/EUR,BERA,EUR,kraken,spot,True
BERA/USD,BERA,USD,kraken,spot,True
BERA/USDC,BERA,USDC,kraken,spot,True
BERA/USDT,BERA,USDT,kraken,spot,True
BERT/EUR,BERT,EUR,kraken,spot,True
BERT/USD,BERT,USD,kraken,spot,True
BGB/EUR,BGB,EUR,kraken,spot,True
