symbol,base,quote,exchange,type,active
BTC/USDT,BTC,USDT,bybit,spot,True
ETH/USDT,ETH,USDT,bybit,spot,True
XRP/USDT,XRP,USDT,bybit,spot,True
ETH/BTC,ETH,BTC,bybit,spot,True
XRP/BTC,XRP,BTC,bybit,spot,True
DOT/USDT,DOT,USDT,bybit,spot,True
XLM/USDT,XLM,USDT,bybit,spot,True
LTC/USDT,LTC,USDT,bybit,spot,True
DOGE/USDT,DOGE,USDT,bybit,spot,True
CHZ/USDT,CHZ,USDT,bybit,spot,True
AXS/USDT,AXS,USDT,bybit,spot,True
MANA/USDT,MANA,USDT,bybit,spot,True
DYDX/USDT,DYDX,USDT,bybit,spot,True
COMP/USDT,COMP,USDT,bybit,spot,True
AAVE/USDT,AAVE,USDT,bybit,spot,True
YFI/USDT,YFI,USDT,bybit,spot,True
LINK/USDT,LINK,USDT,bybit,spot,True
SUSHI/USDT,SUSHI,USDT,bybit,spot,True
UNI/USDT,UNI,USDT,bybit,spot,True
KSM/USDT,KSM,USDT,bybit,spot,True
ICP/USDT,ICP,USDT,bybit,spot,True
ADA/USDT,ADA,USDT,bybit,spot,True
ETC/USDT,ETC,USDT,bybit,spot,True
XTZ/USDT,XTZ,USDT,bybit,spot,True
BCH/USDT,BCH,USDT,bybit,spot,True
QNT/USDT,QNT,USDT,bybit,spot,True
USDC/USDT,USDC,USDT,bybit,spot,True
GRT/USDT,GRT,USDT,bybit,spot,True
SOL/USDT,SOL,USDT,bybit,spot,True
FIL/USDT,FIL,USDT,bybit,spot,True
BAT/USDT,BAT,USDT,bybit,spot,True
ZRX/USDT,ZRX,USDT,bybit,spot,True
CRV/USDT,CRV,USDT,bybit,spot,True
AGLD/USDT,AGLD,USDT,bybit,spot,True
ANKR/USDT,ANKR,USDT,bybit,spot,True
WAVES/USDT,WAVES,USDT,bybit,spot,True
LUNC/USDT,LUNC,USDT,bybit,spot,True
SPELL/USDT,SPELL,USDT,bybit,spot,True
SHIB/USDT,SHIB,USDT,bybit,spot,True
ATOM/USDT,ATOM,USDT,bybit,spot,True
ALGO/USDT,ALGO,USDT,bybit,spot,True
ENJ/USDT,ENJ,USDT,bybit,spot,True
SAND/USDT,SAND,USDT,bybit,spot,True
AVAX/USDT,AVAX,USDT,bybit,spot,True
WOO/USDT,WOO,USDT,bybit,spot,True
FTT/USDT,FTT,USDT,bybit,spot,True
GODS/USDT,GODS,USDT,bybit,spot,True
IMX/USDT,IMX,USDT,bybit,spot,True
ENS/USDT,ENS,USDT,bybit,spot,True
CAKE/USDT,CAKE,USDT,bybit,spot,True
STETH/USDT,STETH,USDT,bybit,spot,True
SLP/USDT,SLP,USDT,bybit,spot,True
C98/USDT,C98,USDT,bybit,spot,True
AVA/USDT,AVA,USDT,bybit,spot,True
ONE/USDT,ONE,USDT,bybit,spot,True
BOBA/USDT,BOBA,USDT,bybit,spot,True
JASMY/USDT,JASMY,USDT,bybit,spot,True
GALA/USDT,GALA,USDT,bybit,spot,True
WEMIX/USDT,WEMIX,USDT,bybit,spot,True
XEM/USDT,XEM,USDT,bybit,spot,True
BICO/USDT,BICO,USDT,bybit,spot,True
UMA/USDT,UMA,USDT,bybit,spot,True
NEXO/USDT,NEXO,USDT,bybit,spot,True
SNX/USDT,SNX,USDT,bybit,spot,True
1INCH/USDT,1INCH,USDT,bybit,spot,True
TEL/USDT,TEL,USDT,bybit,spot,True
SIS/USDT,SIS,USDT,bybit,spot,True
LRC/USDT,LRC,USDT,bybit,spot,True
LDO/USDT,LDO,USDT,bybit,spot,True
ETH/USDC,ETH,USDC,bybit,spot,True
BTC/USDC,BTC,USDC,bybit,spot,True
IZI/USDT,IZI,USDT,bybit,spot,True
QTUM/USDT,QTUM,USDT,bybit,spot,True
ZEN/USDT,ZEN,USDT,bybit,spot,True
