symbol,base,quote,exchange,type,active
BTC/USD,BTC,USD,coinbase,spot,True
BTC/USDC,BTC,USDC,coinbase,spot,True
ETH/USD,ETH,USD,coinbase,spot,True
ETH/USDC,ETH,USDC,coinbase,spot,True
XRP/USD,XRP,USD,coinbase,spot,True
XRP/USDC,XRP,USDC,coinbase,spot,True
SOL/USD,SOL,USD,coinbase,spot,True
SOL/USDC,SOL,USDC,coinbase,spot,True
USDT/USD,USDT,USD,coinbase,spot,True
ZEC/USD,ZEC,USD,coinbase,spot,True
ZEC/USDC,ZEC,USDC,coinbase,spot,True
TAO/USD,TAO,USD,coinbase,spot,True
TAO/USDC,TAO,USDC,coinbase,spot,True
BTC/EUR,BTC,EUR,coinbase,spot,True
USDC/EUR,USDC,EUR,coinbase,spot,True
DAI/USD,DAI,USD,coinbase,spot,True
DAI/USDC,DAI,USDC,coinbase,spot,True
ALGO/USD,ALGO,USD,coinbase,spot,True
ALGO/USDC,ALGO,USDC,coinbase,spot,True
DOGE/USD,DOGE,USD,coinbase,spot,True
DOGE/USDC,DOGE,USDC,coinbase,spot,True
MON/USD,MON,USD,coinbase,spot,True
MON/USDC,MON,USDC,coinbase,spot,True
CTSI/USD,CTSI,USD,coinbase,spot,True
CTSI/USDC,CTSI,USDC,coinbase,spot,True
ADA/USDC,ADA,USDC,coinbase,spot,True
ADA/USD,ADA,USD,coinbase,spot,True
NOM/USD,NOM,USD,coinbase,spot,True
NOM/USDC,NOM,USDC,coinbase,spot,True
LTC/USD,LTC,USD,coinbase,spot,True
LTC/USDC,LTC,USDC,coinbase,spot,True
LINK/USD,LINK,USD,coinbase,spot,True
LINK/USDC,LINK,USDC,coinbase,spot,True
HBAR/USD,HBAR,USD,coinbase,spot,True
HBAR/USDC,HBAR,USDC,coinbase,spot,True
EDGEX/USD,EDGEX,USD,coinbase,spot,True
EDGEX/USDC,EDGEX,USDC,coinbase,spot,True
XLM/USD,XLM,USD,coinbase,spot,True
XLM/USDC,XLM,USDC,coinbase,spot,True
ABT/USD,ABT,USD,coinbase,spot,True
ABT/USDC,ABT,USDC,coinbase,spot,True
SUI/USD,SUI,USD,coinbase,spot,True
SUI/USDC,SUI,USDC,coinbase,spot,True
FET/USD,FET,USD,coinbase,spot,True
FET/USDC,FET,USDC,coinbase,spot,True
HYPE/USD,HYPE,USD,coinbase,spot,True
HYPE/USDC,HYPE,USDC,coinbase,spot,True
AVAX/USD,AVAX,USD,coinbase,spot,True
AVAX/USDC,AVAX,USDC,coinbase,spot,True
BERA/USD,BERA,USD,coinbase,spot,True
BERA/USDC,BERA,USDC,coinbase,spot,True
VVV/USD,VVV,USD,coinbase,spot,True
VVV/USDC,VVV,USDC,coinbase,spot,True
RLS/USD,RLS,USD,coinbase,spot,True
RLS/USDC,RLS,USDC,coinbase,spot,True
BTC/GBP,BTC,GBP,coinbase,spot,True
WIF/USD,WIF,USD,coinbase,spot,True
WIF/USDC,WIF,USDC,coinbase,spot,True
FARTCOIN/USD,FARTCOIN,USD,coinbase,spot,True
FARTCOIN/USDC,FARTCOIN,USDC,coinbase,spot,True
NEAR/USD,NEAR,USD,coinbase,spot,True
NEAR/USDC,NEAR,USDC,coinbase,spot,True
SEI/USD,SEI,USD,coinbase,spot,True
SEI/USDC,SEI,USDC,coinbase,spot,True
RENDER/USD,RENDER,USD,coinbase,spot,True
RENDER/USDC,RENDER,USDC,coinbase,spot,True
BONK/USD,BONK,USD,coinbase,spot,True
BONK/USDC,BONK,USDC,coinbase,spot,True
ETH/EUR,ETH,EUR,coinbase,spot,True
ONDO/USD,ONDO,USD,coinbase,spot,True
ONDO/USDC,ONDO,USDC,coinbase,spot,True
UNI/USD,UNI,USD,coinbase,spot,True
UNI/USDC,UNI,USDC,coinbase,spot,True
RARI/USD,RARI,USD,coinbase,spot,True
RARI/USDC,RARI,USDC,coinbase,spot,True
USDT/USDC,USDT,USDC,coinbase,spot,True
PEPE/USD,PEPE,USD,coinbase,spot,True
PEPE/USDC,PEPE,USDC,coinbase,spot,True
KITE/USD,KITE,USD,coinbase,spot,True
