symbol,base,quote,exchange,type,active
BTC-USD,BTC,USD,YAHOO,spot,True
ETH-USD,ETH,USD,YAHOO,spot,True
BNB-USD,BNB,USD,YAHOO,spot,True
XRP-USD,XRP,USD,YAHOO,spot,True
ADA-USD,ADA,USD,YAHOO,spot,True
SOL-USD,SOL,USD,YAHOO,spot,True
DOT-USD,DOT,USD,YAHOO,spot,True
AVAX-USD,AVAX,USD,YAHOO,spot,True
MATIC-USD,MATIC,USD,YAHOO,spot,True
LINK-USD,LINK,USD,YAHOO,spot,True
UNI-USD,UNI,USD,YAHOO,spot,True
LTC-USD,LTC,USD,YAHOO,spot,True
BCH-USD,BCH,USD,YAHOO,spot,True
ALGO-USD,ALGO,USD,YAHOO,spot,True
ATOM-USD,ATOM,USD,YAHOO,spot,True
