datetime,open,high,low,close,volume,dividends,stock_splits,ticker,interval
2026-01-22 09:30:00-05:00,109.72000122070312,110.51000213623047,107.3499984741211,107.69999694824219,1208141,0.0,0.0,ASTS,5m
2026-01-22 09:35:00-05:00,107.68000030517578,108.19999694824219,105.80000305175781,106.76000213623047,314579,0.0,0.0,ASTS,5m
2026-01-22 09:40:00-05:00,106.76000213623047,109.1500015258789,106.03009796142578,109.1500015258789,231877,0.0,0.0,ASTS,5m
2026-01-22 09:45:00-05:00,109.27999877929688,109.27999877929688,106.41000366210938,107.36199951171875,247718,0.0,0.0,ASTS,5m
2026-01-22 09:50:00-05:00,107.45500183105469,109.69999694824219,107.4000015258789,109.47599792480469,245901,0.0,0.0,ASTS,5m
2026-01-22 09:55:00-05:00,109.43679809570312,110.69000244140625,108.5,109.29219818115234,349491,0.0,0.0,ASTS,5m
2026-01-22 10:00:00-05:00,109.23999786376953,109.43990325927734,107.23999786376953,108.16000366210938,171996,0.0,0.0,ASTS,5m
2026-01-22 10:05:00-05:00,108.08439636230469,108.47000122070312,107.55999755859375,108.03500366210938,118530,0.0,0.0,ASTS,5m
2026-01-22 10:10:00-05:00,108.1500015258789,108.1500015258789,107.19999694824219,107.77999877929688,78161,0.0,0.0,ASTS,5m
2026-01-22 10:15:00-05:00,107.86000061035156,108.89990234375,107.5,107.58000183105469,135133,0.0,0.0,ASTS,5m
2026-01-22 10:20:00-05:00,107.5199966430664,108.05000305175781,106.80149841308594,107.0,106000,0.0,0.0,ASTS,5m
2026-01-22 10:25:00-05:00,106.92009735107422,107.98999786376953,106.9000015258789,107.96800231933594,96433,0.0,0.0,ASTS,5m
2026-01-22 10:30:00-05:00,107.88999938964844,109.12000274658203,107.80000305175781,108.875,147667,0.0,0.0,ASTS,5m
2026-01-22 10:35:00-05:00,108.875,109.56819915771484,108.68000030517578,109.06500244140625,143540,0.0,0.0,ASTS,5m
2026-01-22 10:40:00-05:00,109.06999969482422,109.14859771728516,108.2300033569336,108.80069732666016,105021,0.0,0.0,ASTS,5m
2026-01-22 10:45:00-05:00,108.87000274658203,108.87000274658203,108.06999969482422,108.1050033569336,117314,0.0,0.0,ASTS,5m
2026-01-22 10:50:00-05:00,108.16919708251953,108.62999725341797,107.9000015258789,108.36000061035156,55514,0.0,0.0,ASTS,5m
2026-01-22 10:55:00-05:00,108.36000061035156,108.80999755859375,108.0199966430664,108.65499877929688,84804,0.0,0.0,ASTS,5m
2026-01-22 11:00:00-05:00,108.6613998413086,109.75,108.43000030517578,109.47000122070312,137197,0.0,0.0,ASTS,5m
2026-01-22 11:05:00-05:00,109.41960144042969,109.5,108.67449951171875,108.77999877929688,62870,0.0,0.0,ASTS,5m
2026-01-22 11:10:00-05:00,108.83999633789062,109.54000091552734,108.69999694824219,109.54000091552734,59158,0.0,0.0,ASTS,5m
2026-01-22 11:15:00-05:00,109.53679656982422,109.57499694824219,108.69999694824219,109.45999908447266,57065,0.0,0.0,ASTS,5m
2026-01-22 11:20:00-05:00,109.51000213623047,109.7300033569336,109.3499984741211,109.59719848632812,58437,0.0,0.0,ASTS,5m
2026-01-22 11:25:00-05:00,109.66000366210938,109.69999694824219,108.9000015258789,109.5250015258789,58261,0.0,0.0,ASTS,5m
2026-01-22 11:30:00-05:00,109.55000305175781,109.73999786376953,109.16999816894531,109.61499786376953,88707,0.0,0.0,ASTS,5m
2026-01-22 11:35:00-05:00,109.61499786376953,110.70970153808594,109.32499694824219,110.16999816894531,224327,0.0,0.0,ASTS,5m
2026-01-22 11:40:00-05:00,110.20999908447266,110.5,109.80010223388672,110.42500305175781,90946,0.0,0.0,ASTS,5m
2026-01-22 11:45:00-05:00,110.43000030517578,110.5999984741211,109.69999694824219,110.55999755859375,86252,0.0,0.0,ASTS,5m
2026-01-22 11:50:00-05:00,110.5250015258789,111.19999694824219,110.47000122070312,110.9480972290039,134140,0.0,0.0,ASTS,5m
2026-01-22 11:55:00-05:00,110.9800033569336,110.9800033569336,110.47000122070312,110.80999755859375,71476,0.0,0.0,ASTS,5m
2026-01-22 12:00:00-05:00,110.80000305175781,111.8499984741211,110.69999694824219,111.76499938964844,148407,0.0,0.0,ASTS,5m
2026-01-22 12:05:00-05:00,111.80760192871094,112.1500015258789,111.15630340576172,112.01329803466797,161604,0.0,0.0,ASTS,5m
2026-01-22 12:10:00-05:00,112.08999633789062,112.08999633789062,110.86000061035156,110.94499969482422,121146,0.0,0.0,ASTS,5m
2026-01-22 12:15:00-05:00,110.98999786376953,111.48989868164062,110.86000061035156,111.48989868164062,97283,0.0,0.0,ASTS,5m
2026-01-22 12:20:00-05:00,111.44499969482422,112.13999938964844,111.31999969482422,112.09500122070312,98910,0.0,0.0,ASTS,5m
2026-01-22 12:25:00-05:00,112.12999725341797,112.13999938964844,111.60440063476562,111.8499984741211,75585,0.0,0.0,ASTS,5m
2026-01-22 12:30:00-05:00,111.8499984741211,112.35900115966797,111.79000091552734,112.19999694824219,99297,0.0,0.0,ASTS,5m
2026-01-22 12:35:00-05:00,112.11689758300781,112.33999633789062,111.79499816894531,112.05989837646484,49845,0.0,0.0,ASTS,5m
2026-01-22 12:40:00-05:00,112.05999755859375,112.83000183105469,112.04000091552734,112.79499816894531,114185,0.0,0.0,ASTS,5m
2026-01-22 12:45:00-05:00,112.81999969482422,113.5,112.7699966430664,113.02999877929688,137718,0.0,0.0,ASTS,5m
2026-01-22 12:50:00-05:00,113.21990203857422,113.76000213623047,113.04000091552734,113.68499755859375,97652,0.0,0.0,ASTS,5m
2026-01-22 12:55:00-05:00,113.69000244140625,114.4000015258789,113.55000305175781,114.13999938964844,198974,0.0,0.0,ASTS,5m
2026-01-22 13:00:00-05:00,114.09010314941406,115.44000244140625,113.80010223388672,115.4000015258789,279919,0.0,0.0,ASTS,5m
2026-01-22 13:05:00-05:00,115.37000274658203,116.23999786376953,115.30000305175781,115.51000213623047,298050,0.0,0.0,ASTS,5m
2026-01-22 13:10:00-05:00,115.5199966430664,115.8499984741211,114.93000030517578,115.1500015258789,215641,0.0,0.0,ASTS,5m
2026-01-22 13:15:00-05:00,115.16000366210938,116.29000091552734,115.03009796142578,115.83000183105469,229656,0.0,0.0,ASTS,5m
2026-01-22 13:20:00-05:00,115.81999969482422,116.22000122070312,114.92009735107422,115.04000091552734,182498,0.0,0.0,ASTS,5m
2026-01-22 13:25:00-05:00,115.01000213623047,116.29000091552734,114.68000030517578,116.0,257308,0.0,0.0,ASTS,5m
2026-01-22 13:30:00-05:00,116.0000991821289,116.4000015258789,115.7300033569336,115.94999694824219,186563,0.0,0.0,ASTS,5m
2026-01-22 13:35:00-05:00,115.96040344238281,116.44000244140625,115.79000091552734,116.42500305175781,128413,0.0,0.0,ASTS,5m
2026-01-22 13:40:00-05:00,116.41500091552734,116.55000305175781,116.11000061035156,116.19000244140625,145699,0.0,0.0,ASTS,5m
2026-01-22 13:45:00-05:00,116.18000030517578,117.0250015258789,116.12439727783203,116.54499816894531,220534,0.0,0.0,ASTS,5m
2026-01-22 13:50:00-05:00,116.62999725341797,117.5,116.56800079345703,116.98999786376953,161741,0.0,0.0,ASTS,5m
2026-01-22 13:55:00-05:00,116.94999694824219,117.7300033569336,116.94999694824219,117.56999969482422,221144,0.0,0.0,ASTS,5m
2026-01-22 14:00:00-05:00,117.58999633789062,117.83000183105469,116.44999694824219,116.62840270996094,193313,0.0,0.0,ASTS,5m
2026-01-22 14:05:00-05:00,116.62999725341797,117.19999694824219,116.56999969482422,117.15119934082031,118698,0.0,0.0,ASTS,5m
2026-01-22 14:10:00-05:00,117.12000274658203,117.44000244140625,116.8499984741211,116.93309783935547,70138,0.0,0.0,ASTS,5m
2026-01-22 14:15:00-05:00,117.04000091552734,117.73999786376953,116.89009857177734,117.69499969482422,106969,0.0,0.0,ASTS,5m
2026-01-22 14:20:00-05:00,117.69000244140625,117.95999908447266,117.43499755859375,117.81999969482422,105138,0.0,0.0,ASTS,5m
2026-01-22 14:25:00-05:00,117.8550033569336,117.97989654541016,117.62999725341797,117.8499984741211,93706,0.0,0.0,ASTS,5m
2026-01-22 14:30:00-05:00,117.87000274658203,118.47000122070312,117.73999786376953,118.42500305175781,191448,0.0,0.0,ASTS,5m
2026-01-22 14:35:00-05:00,118.38999938964844,118.61000061035156,118.1500015258789,118.30000305175781,146205,0.0,0.0,ASTS,5m
2026-01-22 14:40:00-05:00,118.37999725341797,118.80000305175781,117.9000015258789,118.1083984375,185253,0.0,0.0,ASTS,5m
2026-01-22 14:45:00-05:00,118.16000366210938,118.53060150146484,118.0,118.26000213623047,123813,0.0,0.0,ASTS,5m
2026-01-22 14:50:00-05:00,118.21379852294922,119.3499984741211,118.21320343017578,119.11499786376953,282334,0.0,0.0,ASTS,5m
2026-01-22 14:55:00-05:00,119.11000061035156,119.7699966430664,118.87999725341797,119.7699966430664,208893,0.0,0.0,ASTS,5m
2026-01-22 15:00:00-05:00,119.63999938964844,119.70800018310547,118.62000274658203,118.9000015258789,183335,0.0,0.0,ASTS,5m
2026-01-22 15:05:00-05:00,118.9000015258789,119.16000366210938,118.19999694824219,119.09500122070312,160655,0.0,0.0,ASTS,5m
2026-01-22 15:10:00-05:00,119.1500015258789,119.87999725341797,118.68000030517578,119.81300354003906,177422,0.0,0.0,ASTS,5m
2026-01-22 15:15:00-05:00,119.78500366210938,120.08999633789062,119.48999786376953,119.48999786376953,246709,0.0,0.0,ASTS,5m
2026-01-22 15:20:00-05:00,119.5199966430664,119.5999984741211,119.05999755859375,119.43000030517578,123645,0.0,0.0,ASTS,5m
2026-01-22 15:25:00-05:00,119.38960266113281,119.58999633789062,119.0199966430664,119.11499786376953,126676,0.0,0.0,ASTS,5m
2026-01-22 15:30:00-05:00,119.05999755859375,119.16999816894531,118.01010131835938,118.30000305175781,230659,0.0,0.0,ASTS,5m
2026-01-22 15:35:00-05:00,118.25569915771484,118.30000305175781,116.76000213623047,116.83999633789062,281394,0.0,0.0,ASTS,5m
2026-01-22 15:40:00-05:00,116.86000061035156,116.95989990234375,116.41999816894531,116.55000305175781,215789,0.0,0.0,ASTS,5m
2026-01-22 15:45:00-05:00,116.6500015258789,117.04000091552734,116.31999969482422,116.58999633789062,156235,0.0,0.0,ASTS,5m
2026-01-22 15:50:00-05:00,116.41999816894531,116.41999816894531,114.87999725341797,115.45999908447266,363403,0.0,0.0,ASTS,5m
2026-01-22 15:55:00-05:00,115.44000244140625,116.38369750976562,115.43000030517578,116.27999877929688,488655,0.0,0.0,ASTS,5m
2026-01-23 09:30:00-05:00,115.52999877929688,118.74629974365234,115.5,116.0,542863,0.0,0.0,ASTS,5m
2026-01-23 09:35:00-05:00,115.95999908447266,118.91000366210938,115.60900115966797,115.93000030517578,332669,0.0,0.0,ASTS,5m
2026-01-23 09:40:00-05:00,115.62010192871094,117.6500015258789,115.0199966430664,116.4749984741211,238651,0.0,0.0,ASTS,5m
2026-01-23 09:45:00-05:00,115.29000091552734,115.56999969482422,113.01000213623047,114.15499877929688,343547,0.0,0.0,ASTS,5m
2026-01-23 09:50:00-05:00,114.15499877929688,115.8125991821289,113.2300033569336,113.47480010986328,290591,0.0,0.0,ASTS,5m
2026-01-23 09:55:00-05:00,113.37000274658203,114.46990203857422,112.69000244140625,114.13999938964844,196203,0.0,0.0,ASTS,5m
2026-01-23 10:00:00-05:00,114.32990264892578,115.60990142822266,114.0,114.841796875,142352,0.0,0.0,ASTS,5m
2026-01-23 10:05:00-05:00,114.7300033569336,115.58989715576172,114.60009765625,115.2300033569336,99622,0.0,0.0,ASTS,5m
2026-01-23 10:10:00-05:00,115.23999786376953,117.0999984741211,115.23999786376953,116.20999908447266,178109,0.0,0.0,ASTS,5m
2026-01-23 10:15:00-05:00,116.16500091552734,116.6500015258789,115.0199966430664,115.2249984741211,142576,0.0,0.0,ASTS,5m
2026-01-23 10:20:00-05:00,115.30000305175781,116.5,115.30000305175781,116.40499877929688,77762,0.0,0.0,ASTS,5m
2026-01-23 10:25:00-05:00,116.30000305175781,116.59989929199219,115.56999969482422,115.70999908447266,80615,0.0,0.0,ASTS,5m
2026-01-23 10:30:00-05:00,115.62000274658203,117.0999984741211,115.61000061035156,116.80999755859375,155666,0.0,0.0,ASTS,5m
2026-01-23 10:35:00-05:00,116.80999755859375,117.66000366210938,116.44000244140625,117.6500015258789,118303,0.0,0.0,ASTS,5m
2026-01-23 10:40:00-05:00,117.63999938964844,119.0,117.41999816894531,117.70999908447266,403433,0.0,0.0,ASTS,5m
2026-01-23 10:45:00-05:00,117.62000274658203,118.05500030517578,116.84439849853516,117.75,191631,0.0,0.0,ASTS,5m
2026-01-23 10:50:00-05:00,117.82499694824219,118.87999725341797,117.74009704589844,118.58000183105469,171227,0.0,0.0,ASTS,5m
2026-01-23 10:55:00-05:00,118.58999633789062,118.9800033569336,118.05000305175781,118.37999725341797,148557,0.0,0.0,ASTS,5m
2026-01-23 11:00:00-05:00,118.37999725341797,118.39939880371094,117.11720275878906,117.12000274658203,148284,0.0,0.0,ASTS,5m
2026-01-23 11:05:00-05:00,117.12010192871094,117.25,115.80000305175781,115.875,135936,0.0,0.0,ASTS,5m
2026-01-23 11:10:00-05:00,115.83000183105469,116.80999755859375,115.75,116.37590026855469,109257,0.0,0.0,ASTS,5m
2026-01-23 11:15:00-05:00,116.48999786376953,116.66000366210938,116.05999755859375,116.26000213623047,51355,0.0,0.0,ASTS,5m
2026-01-23 11:20:00-05:00,116.29499816894531,116.30999755859375,115.5199966430664,115.90299987792969,102778,0.0,0.0,ASTS,5m
2026-01-23 11:25:00-05:00,115.76499938964844,115.98999786376953,114.7780990600586,115.4800033569336,170513,0.0,0.0,ASTS,5m
2026-01-23 11:30:00-05:00,115.48999786376953,115.62000274658203,114.91000366210938,115.27999877929688,62137,0.0,0.0,ASTS,5m
2026-01-23 11:35:00-05:00,115.23509979248047,116.21800231933594,115.16000366210938,116.02639770507812,73989,0.0,0.0,ASTS,5m
2026-01-23 11:40:00-05:00,115.9000015258789,117.06999969482422,115.66999816894531,116.93000030517578,138453,0.0,0.0,ASTS,5m
2026-01-23 11:45:00-05:00,116.90499877929688,117.39839935302734,116.61000061035156,117.17269897460938,99069,0.0,0.0,ASTS,5m
2026-01-23 11:50:00-05:00,116.94999694824219,117.30000305175781,116.0,116.2300033569336,105376,0.0,0.0,ASTS,5m
2026-01-23 11:55:00-05:00,116.4000015258789,116.58000183105469,115.81999969482422,116.11000061035156,52166,0.0,0.0,ASTS,5m
2026-01-23 12:00:00-05:00,116.11000061035156,116.34940338134766,115.44000244140625,116.20999908447266,64842,0.0,0.0,ASTS,5m
2026-01-23 12:05:00-05:00,116.20999908447266,116.4999008178711,115.51000213623047,116.22000122070312,48271,0.0,0.0,ASTS,5m
2026-01-23 12:10:00-05:00,116.1875,116.73999786376953,116.0,116.68000030517578,46706,0.0,0.0,ASTS,5m
2026-01-23 12:15:00-05:00,116.59500122070312,116.89869689941406,116.30000305175781,116.76490020751953,48209,0.0,0.0,ASTS,5m
2026-01-23 12:20:00-05:00,116.76509857177734,117.19999694824219,116.76490020751953,117.16000366210938,56194,0.0,0.0,ASTS,5m
2026-01-23 12:25:00-05:00,117.1500015258789,117.30000305175781,116.55999755859375,116.69499969482422,54999,0.0,0.0,ASTS,5m
2026-01-23 12:30:00-05:00,116.66000366210938,116.8499984741211,115.5,115.87999725341797,73462,0.0,0.0,ASTS,5m
2026-01-23 12:35:00-05:00,115.86000061035156,116.19999694824219,115.66999816894531,115.8499984741211,39861,0.0,0.0,ASTS,5m
2026-01-23 12:40:00-05:00,115.89869689941406,116.30999755859375,115.62000274658203,115.95999908447266,50508,0.0,0.0,ASTS,5m
2026-01-23 12:45:00-05:00,115.93000030517578,116.37989807128906,115.80000305175781,116.19499969482422,54183,0.0,0.0,ASTS,5m
2026-01-23 12:50:00-05:00,116.19869995117188,116.47560119628906,115.80000305175781,115.94999694824219,38797,0.0,0.0,ASTS,5m
2026-01-23 12:55:00-05:00,115.80049896240234,116.37999725341797,115.19999694824219,115.19999694824219,67398,0.0,0.0,ASTS,5m
2026-01-23 13:00:00-05:00,115.31999969482422,116.00250244140625,115.01000213623047,115.80999755859375,43194,0.0,0.0,ASTS,5m
2026-01-23 13:05:00-05:00,115.83000183105469,116.5999984741211,115.69999694824219,116.52999877929688,72051,0.0,0.0,ASTS,5m
2026-01-23 13:10:00-05:00,116.48500061035156,116.87989807128906,115.44000244140625,115.53500366210938,60122,0.0,0.0,ASTS,5m
2026-01-23 13:15:00-05:00,115.55339813232422,116.0999984741211,115.48999786376953,115.76000213623047,27852,0.0,0.0,ASTS,5m
2026-01-23 13:20:00-05:00,115.7699966430664,116.29989624023438,115.62999725341797,115.98999786376953,28867,0.0,0.0,ASTS,5m
2026-01-23 13:25:00-05:00,115.9800033569336,116.14990234375,115.70500183105469,115.70500183105469,30532,0.0,0.0,ASTS,5m
