date,open,high,low,close,volume,dividends,stock_splits,ticker,interval
2015-06-01 00:00:00-04:00,625000.0,687500.0,475250.0,556250.0,18,0.0,0.0,AIXC,1mo
2015-07-01 00:00:00-04:00,561250.0,587500.0,377500.0,458750.0,12,0.0,0.0,AIXC,1mo
2015-08-01 00:00:00-04:00,440000.0,552500.0,312500.0,411250.0,17,0.0,0.0,AIXC,1mo
2015-09-01 00:00:00-04:00,406250.0,425000.0,250000.0,256250.0,5,0.0,0.0,AIXC,1mo
2015-10-01 00:00:00-04:00,262500.0,325000.0,262500.0,295000.0,0,0.0,0.0,AIXC,1mo
2015-11-01 00:00:00-04:00,297500.0,310625.0,257750.0,272500.0,5,0.0,0.0,AIXC,1mo
2015-12-01 00:00:00-05:00,271250.0,328750.0,192500.0,212500.0,19,0.0,0.0,AIXC,1mo
2016-01-01 00:00:00-05:00,212500.0,220000.0,135000.0,171250.0,11,0.0,0.0,AIXC,1mo
2016-02-01 00:00:00-05:00,165000.0,215000.0,122625.0,181250.0,7,0.0,0.0,AIXC,1mo
2016-03-01 00:00:00-05:00,205000.0,223750.0,128750.0,141250.0,6,0.0,0.0,AIXC,1mo
2016-04-01 00:00:00-04:00,142500.0,227500.0,137500.0,203750.0,9,0.0,0.0,AIXC,1mo
2016-05-01 00:00:00-04:00,203750.0,236250.0,187500.0,206250.0,0,0.0,0.0,AIXC,1mo
2016-06-01 00:00:00-04:00,200000.0,236250.0,175000.0,191250.0,0,0.0,0.0,AIXC,1mo
2016-07-01 00:00:00-04:00,188750.0,308750.0,156250.0,181250.0,18,0.0,0.0,AIXC,1mo
2016-08-01 00:00:00-04:00,175000.0,187500.0,153750.0,167500.0,1,0.0,0.0,AIXC,1mo
2016-09-01 00:00:00-04:00,165000.0,225000.0,150000.0,210000.0,14,0.0,0.0,AIXC,1mo
2016-10-01 00:00:00-04:00,212500.0,407500.0,202500.0,297500.0,75,0.0,0.0,AIXC,1mo
2016-11-01 00:00:00-04:00,295000.0,327500.0,251250.0,288750.0,10,0.0,0.0,AIXC,1mo
2016-12-01 00:00:00-05:00,286250.0,388750.0,282500.0,338750.0,12,0.0,0.0,AIXC,1mo
2017-01-01 00:00:00-05:00,345000.0,462500.0,323125.0,427500.0,19,0.0,0.0,AIXC,1mo
2017-02-01 00:00:00-05:00,428750.0,468750.0,316875.0,320000.0,24,0.0,0.0,AIXC,1mo
2017-03-01 00:00:00-05:00,337500.0,418750.0,161750.0,177500.0,66,0.0,0.0,AIXC,1mo
2017-04-01 00:00:00-04:00,177500.0,182500.0,95000.0,100000.0,159,0.0,0.0,AIXC,1mo
2017-05-01 00:00:00-04:00,98250.0,118750.0,68750.0,76875.0,91,0.0,0.0,AIXC,1mo
2017-06-01 00:00:00-04:00,77500.0,99750.0,65000.0,68750.0,69,0.0,0.0,AIXC,1mo
2017-07-01 00:00:00-04:00,71875.0,93750.0,62500.0,70000.0,80,0.0,0.0,AIXC,1mo
2017-08-01 00:00:00-04:00,71250.0,81250.0,65125.0,71250.0,42,0.0,0.0,AIXC,1mo
2017-09-01 00:00:00-04:00,80875.0,80875.0,42125.0,43750.0,66,0.0,0.0,AIXC,1mo
2017-10-01 00:00:00-04:00,46250.0,51875.0,40000.0,45750.0,356,0.0,0.0,AIXC,1mo
2017-11-01 00:00:00-04:00,46250.0,46875.0,35750.0,40125.0,124,0.0,0.0,AIXC,1mo
2017-12-01 00:00:00-05:00,41875.0,43750.0,35000.0,41125.0,70,0.0,0.0,AIXC,1mo
2018-01-01 00:00:00-05:00,41625.0,47500.0,37500.0,41000.0,67,0.0,0.0,AIXC,1mo
2018-02-01 00:00:00-05:00,40625.0,42500.0,33625.0,33625.0,54,0.0,0.0,AIXC,1mo
2018-03-01 00:00:00-05:00,34375.0,47500.0,22875.0,34000.0,259,0.0,0.1,AIXC,1mo
2018-04-01 00:00:00-04:00,35000.0,46000.0,27500.0,34250.0,180,0.0,0.0,AIXC,1mo
2018-05-01 00:00:00-04:00,34375.0,47125.0,32375.0,45000.0,229,0.0,0.0,AIXC,1mo
2018-06-01 00:00:00-04:00,45625.0,50000.0,30087.5,32125.0,259,0.0,0.0,AIXC,1mo
2018-07-01 00:00:00-04:00,32125.0,32625.0,25000.0,27250.0,143,0.0,0.0,AIXC,1mo
2018-08-01 00:00:00-04:00,27825.0,31375.0,22500.0,25000.0,116,0.0,0.0,AIXC,1mo
2018-09-01 00:00:00-04:00,25125.0,27500.0,19375.0,23250.0,108,0.0,0.0,AIXC,1mo
2018-10-01 00:00:00-04:00,23500.0,32000.0,13000.0,14375.0,314,0.0,0.0,AIXC,1mo
2018-11-01 00:00:00-04:00,14250.0,15862.5,8875.0,11125.0,170,0.0,0.0,AIXC,1mo
2018-12-01 00:00:00-05:00,11000.0,11875.0,5875.0,7500.0,76,0.0,0.0,AIXC,1mo
2019-01-01 00:00:00-05:00,7375.0,11875.0,7000.0,7375.0,419,0.0,0.0,AIXC,1mo
