date,open,high,low,close,volume,dividends,stock_splits,ticker,interval
1992-12-01 00:00:00-05:00,0.05468018581553229,0.08201986525382844,0.04921208576517978,0.07655176520347595,690699,0.0,0.0,AAON,1mo
1993-01-01 00:00:00-05:00,0.07655178425065132,0.09842419601970283,0.07108368283975722,0.09295608848333359,2198490,0.0,0.0,AAON,1mo
1993-02-01 00:00:00-05:00,0.09295608869449537,0.11482767969956048,0.07108368300123301,0.09842419624328613,1974365,0.0,0.0,AAON,1mo
1993-03-01 00:00:00-05:00,0.09842422569556981,0.14216822935829707,0.09295611651051217,0.13123202323913574,1600825,0.0,0.0,AAON,1mo
1993-04-01 00:00:00-05:00,0.12029584383138608,0.20778387058335296,0.12029584383138608,0.17497606575489044,18024424,0.0,0.0,AAON,1mo
1993-05-01 00:00:00-04:00,0.18044410128581023,0.2460596859455109,0.16950789690459758,0.24605968594551086,16405745,0.0,0.0,AAON,1mo
1993-06-01 00:00:00-04:00,0.24605973535199338,0.28433566205980054,0.1859122408058474,0.20778383314609528,10692211,0.0,0.0,AAON,1mo
1993-07-01 00:00:00-04:00,0.2187199926041645,0.2624640009257589,0.1859122007546265,0.25699588656425476,11564277,0.0,0.0,AAON,1mo
1993-08-01 00:00:00-04:00,0.25699590387527366,0.3608874130343847,0.21872000733695254,0.33901581168174744,16480924,0.0,0.0,AAON,1mo
1993-09-01 00:00:00-04:00,0.339015785369645,0.36088738502475726,0.28433559788954477,0.32807958126068115,16135107,0.0,0.25,AAON,1mo
1993-10-01 00:00:00-04:00,0.32807960114127027,0.34448392054971777,0.2952718198910496,0.31167611479759216,9833297,0.0,0.0,AAON,1mo
1993-11-01 00:00:00-05:00,0.31167598310334726,0.3226113746915523,0.26246390323854213,0.30620789527893066,4741861,0.0,0.0,AAON,1mo
1993-12-01 00:00:00-05:00,0.2898037231259557,0.3444839417934418,0.2843356326538689,0.3444839417934418,8777046,0.0,0.0,AAON,1mo
1994-01-01 00:00:00-05:00,0.344483912989934,0.47024780266269256,0.31714422247456875,0.4319719076156616,25671448,0.0,0.0,AAON,1mo
1994-02-01 00:00:00-05:00,0.44290806578892095,0.5358633269948858,0.4100994329410319,0.5194598436355591,19114041,0.0,0.0,AAON,1mo
1994-03-01 00:00:00-05:00,0.5522678119424362,0.6288196131487295,0.48118410154476976,0.524928092956543,31069241,0.0,0.0,AAON,1mo
1994-04-01 00:00:00-05:00,0.50305560801182,0.73817990152179,0.4757158929773234,0.7272437214851379,18022076,0.0,0.0,AAON,1mo
1994-05-01 00:00:00-04:00,0.7327118196469568,0.7655196250644113,0.5850754946750792,0.7053713202476501,28943579,0.0,0.0,AAON,1mo
1994-06-01 00:00:00-04:00,0.7108395924560964,0.7983276350271561,0.6069480595058331,0.6506921052932739,23498804,0.0,0.0,AAON,1mo
1994-07-01 00:00:00-04:00,0.6506918946802205,0.7436471655790765,0.6178832584112178,0.6397556662559509,17580404,0.0,0.0,AAON,1mo
1994-08-01 00:00:00-04:00,0.6397557040048757,0.6889678282474472,0.5303952754539777,0.6069478988647461,14421046,0.0,0.0,AAON,1mo
1994-09-01 00:00:00-04:00,0.5905436676479691,0.612416078223385,0.5358634497723319,0.5577358603477478,18582151,0.0,0.0,AAON,1mo
1994-10-01 00:00:00-04:00,0.5686719509664898,0.6342875551631028,0.524927969816392,0.628819465637207,17373663,0.0,0.0,AAON,1mo
1994-11-01 00:00:00-05:00,0.628819269970483,0.6670951496845603,0.5358631980652893,0.6124157905578613,9743085,0.0,0.0,AAON,1mo
1994-12-01 00:00:00-05:00,0.6124159917870988,0.6124159917870988,0.4702477688012013,0.5632038712501526,19918443,0.0,0.0,AAON,1mo
1995-01-01 00:00:00-05:00,0.5522676188153129,0.6561598867375917,0.5303951652219372,0.5467994809150696,11041789,0.0,0.0,AAON,1mo
