datetime,open,high,low,close,volume,dividends,stock_splits,capital_gains,ticker,interval
2026-01-22 09:30:00-05:00,35.29999923706055,35.29999923706055,35.29999923706055,35.29999923706055,0,0.0,0.0,0.0,ASCI,30m
2026-01-22 10:00:00-05:00,35.13999938964844,35.20000076293945,35.130001068115234,35.20000076293945,1479,0.0,0.0,0.0,ASCI,30m
2026-01-22 11:00:00-05:00,35.290000915527344,35.290000915527344,35.290000915527344,35.290000915527344,337,0.0,0.0,0.0,ASCI,30m
2026-01-22 15:00:00-05:00,35.2599983215332,35.2599983215332,35.1775016784668,35.2599983215332,922,0.0,0.0,0.0,ASCI,30m
2026-01-23 10:30:00-05:00,35.16999816894531,35.16999816894531,35.16999816894531,35.16999816894531,154,0.0,0.0,0.0,ASCI,30m
2026-01-23 11:00:00-05:00,35.160099029541016,35.160099029541016,35.160099029541016,35.160099029541016,427,0.0,0.0,0.0,ASCI,30m
2026-01-23 11:30:00-05:00,35.18000030517578,35.18009948730469,35.18000030517578,35.18000030517578,1944,0.0,0.0,0.0,ASCI,30m
2026-01-23 12:30:00-05:00,35.18000030517578,35.18000030517578,35.16999816894531,35.16999816894531,401,0.0,0.0,0.0,ASCI,30m
2026-01-23 13:30:00-05:00,35.15999984741211,35.2599983215332,35.15999984741211,35.189998626708984,4539,0.0,0.0,0.0,ASCI,30m
2026-01-23 14:00:00-05:00,35.25230026245117,35.2599983215332,35.25,35.2599983215332,654,0.0,0.0,0.0,ASCI,30m
2026-01-23 14:30:00-05:00,35.349998474121094,35.3583984375,35.2401008605957,35.2401008605957,1784,0.0,0.0,0.0,ASCI,30m
2026-01-23 15:00:00-05:00,35.33000183105469,35.375,35.33000183105469,35.36000061035156,676,0.0,0.0,0.0,ASCI,30m
2026-01-23 15:30:00-05:00,35.380001068115234,35.380001068115234,35.380001068115234,35.380001068115234,200,0.0,0.0,0.0,ASCI,30m
2026-01-26 09:30:00-05:00,35.505001068115234,35.505001068115234,35.505001068115234,35.505001068115234,346,0.0,0.0,0.0,ASCI,30m
2026-01-26 10:00:00-05:00,35.579898834228516,35.579898834228516,35.579898834228516,35.579898834228516,377,0.0,0.0,0.0,ASCI,30m
2026-01-26 12:00:00-05:00,35.47999954223633,35.47999954223633,35.47999954223633,35.47999954223633,255,0.0,0.0,0.0,ASCI,30m
2026-01-26 13:30:00-05:00,35.4900016784668,35.4901008605957,35.47999954223633,35.47999954223633,598,0.0,0.0,0.0,ASCI,30m
2026-01-26 14:00:00-05:00,35.45000076293945,35.45000076293945,35.45000076293945,35.45000076293945,304,0.0,0.0,0.0,ASCI,30m
2026-01-26 14:30:00-05:00,35.43119812011719,35.43119812011719,35.41999816894531,35.41999816894531,644,0.0,0.0,0.0,ASCI,30m
2026-01-26 15:30:00-05:00,35.45500183105469,35.45500183105469,35.45500183105469,35.45500183105469,564,0.0,0.0,0.0,ASCI,30m
2026-01-27 09:30:00-05:00,35.68000030517578,35.68000030517578,35.68000030517578,35.68000030517578,924,0.0,0.0,0.0,ASCI,30m
2026-01-27 10:00:00-05:00,35.79100036621094,35.79100036621094,35.79100036621094,35.79100036621094,200,0.0,0.0,0.0,ASCI,30m
2026-01-27 10:30:00-05:00,35.7599983215332,35.7599983215332,35.7599983215332,35.7599983215332,100,0.0,0.0,0.0,ASCI,30m
2026-01-27 11:00:00-05:00,35.84000015258789,35.84000015258789,35.84000015258789,35.84000015258789,310,0.0,0.0,0.0,ASCI,30m
