datetime,open,high,low,close,volume,dividends,stock_splits,capital_gains,ticker,interval
2025-05-02 12:30:00-04:00,24.889999389648438,24.91990089416504,24.889999389648438,24.9197998046875,2251,0.0,0.0,0.0,AGGA,60m
2025-05-02 13:30:00-04:00,24.92690086364746,24.92690086364746,24.92690086364746,24.92690086364746,849,0.0,0.0,0.0,AGGA,60m
2025-05-02 15:30:00-04:00,24.93000030517578,24.93000030517578,24.93000030517578,24.93000030517578,30156,0.0,0.0,0.0,AGGA,60m
2025-05-05 10:30:00-04:00,24.899999618530273,24.920000076293945,24.899999618530273,24.90559959411621,706473,0.0,0.0,0.0,AGGA,60m
2025-05-05 11:30:00-04:00,24.889999389648438,24.889999389648438,24.889999389648438,24.889999389648438,248590,0.0,0.0,0.0,AGGA,60m
2025-05-05 13:30:00-04:00,24.88949966430664,24.88949966430664,24.88949966430664,24.88949966430664,0,0.0,0.0,0.0,AGGA,60m
2025-05-06 09:30:00-04:00,24.893299102783203,24.893299102783203,24.893299102783203,24.893299102783203,256,0.0,0.0,0.0,AGGA,60m
2025-05-06 12:30:00-04:00,24.88599967956543,24.88599967956543,24.88599967956543,24.88599967956543,336,0.0,0.0,0.0,AGGA,60m
2025-05-07 09:30:00-04:00,24.940000534057617,24.950000762939453,24.940000534057617,24.950000762939453,17585,0.0,0.0,0.0,AGGA,60m
2025-05-07 10:30:00-04:00,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,0,0.0,0.0,0.0,AGGA,60m
2025-05-07 13:30:00-04:00,24.959999084472656,24.969999313354492,24.93000030517578,24.959999084472656,18163,0.0,0.0,0.0,AGGA,60m
2025-05-07 14:30:00-04:00,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,0,0.0,0.0,0.0,AGGA,60m
2025-05-07 15:30:00-04:00,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,1742,0.0,0.0,0.0,AGGA,60m
2025-05-08 09:30:00-04:00,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,8549,0.0,0.0,0.0,AGGA,60m
2025-05-08 12:30:00-04:00,24.93000030517578,24.93000030517578,24.93000030517578,24.93000030517578,1770,0.0,0.0,0.0,AGGA,60m
2025-05-08 14:30:00-04:00,24.90999984741211,24.90999984741211,24.90999984741211,24.90999984741211,3348,0.0,0.0,0.0,AGGA,60m
2025-05-09 09:30:00-04:00,24.920000076293945,24.920000076293945,24.920000076293945,24.920000076293945,283,0.0,0.0,0.0,AGGA,60m
2025-05-09 14:30:00-04:00,24.90999984741211,24.90999984741211,24.90999984741211,24.90999984741211,224992,0.0,0.0,0.0,AGGA,60m
2025-05-12 09:30:00-04:00,24.90999984741211,24.90999984741211,24.90999984741211,24.90999984741211,0,0.0,0.0,0.0,AGGA,60m
2025-05-12 11:30:00-04:00,24.899999618530273,24.899999618530273,24.899999618530273,24.899999618530273,0,0.0,0.0,0.0,AGGA,60m
2025-05-12 13:30:00-04:00,24.93000030517578,24.93000030517578,24.916000366210938,24.916000366210938,0,0.0,0.0,0.0,AGGA,60m
2025-05-12 14:30:00-04:00,24.920000076293945,24.93000030517578,24.920000076293945,24.93000030517578,3854,0.0,0.0,0.0,AGGA,60m
2025-05-13 10:30:00-04:00,24.920000076293945,24.920000076293945,24.920000076293945,24.920000076293945,0,0.0,0.0,0.0,AGGA,60m
2025-05-13 12:30:00-04:00,24.93000030517578,24.93000030517578,24.93000030517578,24.93000030517578,17986,0.0,0.0,0.0,AGGA,60m
2025-05-13 13:30:00-04:00,24.920000076293945,24.920000076293945,24.920000076293945,24.920000076293945,403365,0.0,0.0,0.0,AGGA,60m
2025-05-13 14:30:00-04:00,24.93000030517578,24.93000030517578,24.93000030517578,24.93000030517578,2109,0.0,0.0,0.0,AGGA,60m
2025-05-13 15:30:00-04:00,24.920000076293945,24.920000076293945,24.920000076293945,24.920000076293945,500,0.0,0.0,0.0,AGGA,60m
2025-05-14 09:30:00-04:00,24.90999984741211,24.90999984741211,24.90999984741211,24.90999984741211,6290,0.0,0.0,0.0,AGGA,60m
2025-05-15 09:30:00-04:00,24.899999618530273,24.899999618530273,24.899999618530273,24.899999618530273,695,0.0,0.0,0.0,AGGA,60m
2025-05-15 10:30:00-04:00,24.91900062561035,24.91990089416504,24.91900062561035,24.91990089416504,4610,0.0,0.0,0.0,AGGA,60m
2025-05-15 11:30:00-04:00,24.929000854492188,24.929899215698242,24.929000854492188,24.929899215698242,0,0.0,0.0,0.0,AGGA,60m
2025-05-15 14:30:00-04:00,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,25132,0.0,0.0,0.0,AGGA,60m
2025-05-16 09:30:00-04:00,24.979999542236328,25.399999618530273,24.96299934387207,24.96299934387207,4780,0.0,0.0,0.0,AGGA,60m
2025-05-16 13:30:00-04:00,24.959999084472656,24.959999084472656,24.959999084472656,24.959999084472656,278,0.0,0.0,0.0,AGGA,60m
2025-05-16 14:30:00-04:00,24.968000411987305,24.968000411987305,24.968000411987305,24.968000411987305,959,0.0,0.0,0.0,AGGA,60m
2025-05-19 10:30:00-04:00,24.90999984741211,24.90999984741211,24.90999984741211,24.90999984741211,8226,0.0,0.0,0.0,AGGA,60m
2025-05-19 11:30:00-04:00,24.93000030517578,24.93000030517578,24.90999984741211,24.90999984741211,2549,0.0,0.0,0.0,AGGA,60m
2025-05-19 12:30:00-04:00,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,200,0.0,0.0,0.0,AGGA,60m
2025-05-20 09:30:00-04:00,24.90999984741211,24.93000030517578,24.90999984741211,24.93000030517578,721,0.0,0.0,0.0,AGGA,60m
2025-05-20 14:30:00-04:00,24.940000534057617,24.940000534057617,24.90999984741211,24.90999984741211,6163,0.0,0.0,0.0,AGGA,60m
2025-05-21 09:30:00-04:00,24.8799991607666,24.889999389648438,24.8799991607666,24.889999389648438,418,0.0,0.0,0.0,AGGA,60m
2025-05-21 11:30:00-04:00,24.875,24.889999389648438,24.875,24.889999389648438,3878,0.0,0.0,0.0,AGGA,60m
2025-05-21 12:30:00-04:00,24.889999389648438,24.889999389648438,24.889999389648438,24.889999389648438,109,0.0,0.0,0.0,AGGA,60m
2025-05-21 13:30:00-04:00,24.829999923706055,24.829999923706055,24.829999923706055,24.829999923706055,4740,0.0,0.0,0.0,AGGA,60m
2025-05-21 15:30:00-04:00,24.829999923706055,24.829999923706055,24.829999923706055,24.829999923706055,0,0.0,0.0,0.0,AGGA,60m
2025-05-22 09:30:00-04:00,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,649,0.0,0.0,0.0,AGGA,60m
2025-05-22 10:30:00-04:00,24.827999114990234,24.827999114990234,24.791000366210938,24.791000366210938,856,0.0,0.0,0.0,AGGA,60m
2025-05-22 11:30:00-04:00,24.84600067138672,24.8700008392334,24.84600067138672,24.8700008392334,101676,0.0,0.0,0.0,AGGA,60m
2025-05-22 13:30:00-04:00,24.850799560546875,25.049999237060547,24.84000015258789,24.879899978637695,141159,0.0,0.0,0.0,AGGA,60m
2025-05-22 14:30:00-04:00,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,806,0.0,0.0,0.0,AGGA,60m
2025-05-23 09:30:00-04:00,24.8799991607666,24.8799991607666,24.8799991607666,24.8799991607666,10432,0.0,0.0,0.0,AGGA,60m
2025-05-23 10:30:00-04:00,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,15512,0.0,0.0,0.0,AGGA,60m
2025-05-23 12:30:00-04:00,24.879899978637695,24.879899978637695,24.879899978637695,24.879899978637695,0,0.0,0.0,0.0,AGGA,60m
2025-05-23 13:30:00-04:00,24.85099983215332,24.87380027770996,24.85099983215332,24.87380027770996,1100,0.0,0.0,0.0,AGGA,60m
2025-05-23 15:30:00-04:00,24.8799991607666,24.8799991607666,24.8799991607666,24.8799991607666,1750,0.0,0.0,0.0,AGGA,60m
2025-05-27 09:30:00-04:00,24.90999984741211,24.950000762939453,24.90999984741211,24.950000762939453,205,0.0,0.0,0.0,AGGA,60m
2025-05-27 10:30:00-04:00,24.94499969482422,24.94499969482422,24.94499969482422,24.94499969482422,1632,0.0,0.0,0.0,AGGA,60m
2025-05-27 11:30:00-04:00,24.959999084472656,24.959999084472656,24.950000762939453,24.950000762939453,37954,0.0,0.0,0.0,AGGA,60m
2025-05-27 12:30:00-04:00,24.979999542236328,24.979999542236328,24.979999542236328,24.979999542236328,0,0.0,0.0,0.0,AGGA,60m
2025-05-28 09:30:00-04:00,24.940000534057617,24.950000762939453,24.93000030517578,24.950000762939453,1634,0.0,0.0,0.0,AGGA,60m
2025-05-28 10:30:00-04:00,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,4770,0.0,0.0,0.0,AGGA,60m
2025-05-28 12:30:00-04:00,24.939899444580078,24.939899444580078,24.939899444580078,24.939899444580078,1587,0.0,0.0,0.0,AGGA,60m
2025-05-28 13:30:00-04:00,24.950000762939453,24.950000762939453,24.920000076293945,24.920000076293945,0,0.0,0.0,0.0,AGGA,60m
2025-05-28 14:30:00-04:00,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,999,0.0,0.0,0.0,AGGA,60m
2025-05-28 15:30:00-04:00,24.959999084472656,25.15999984741211,24.959999084472656,24.979999542236328,10277,0.0,0.0,0.0,AGGA,60m
2025-05-29 09:30:00-04:00,25.0,25.0,25.0,25.0,534,0.0,0.0,0.0,AGGA,60m
2025-05-29 10:30:00-04:00,24.989999771118164,25.0,24.989299774169922,24.989999771118164,1938,0.0,0.0,0.0,AGGA,60m
2025-05-29 11:30:00-04:00,25.010000228881836,25.010000228881836,25.0,25.0,504,0.0,0.0,0.0,AGGA,60m
2025-05-29 12:30:00-04:00,25.010000228881836,25.020000457763672,25.010000228881836,25.010000228881836,918,0.0,0.0,0.0,AGGA,60m
2025-05-29 13:30:00-04:00,25.010000228881836,25.010000228881836,25.0,25.0,999,0.0,0.0,0.0,AGGA,60m
2025-05-29 15:30:00-04:00,25.010000228881836,25.010000228881836,25.010000228881836,25.010000228881836,330,0.0,0.0,0.0,AGGA,60m
2025-05-30 09:30:00-04:00,24.989999771118164,25.040000915527344,24.989999771118164,25.040000915527344,7241,0.0,0.0,0.0,AGGA,60m
2025-05-30 10:30:00-04:00,25.010000228881836,25.010000228881836,25.010000228881836,25.010000228881836,0,0.0,0.0,0.0,AGGA,60m
2025-05-30 11:30:00-04:00,25.040000915527344,25.040000915527344,25.030000686645508,25.030000686645508,3354,0.0,0.0,0.0,AGGA,60m
2025-05-30 12:30:00-04:00,25.020000457763672,25.020000457763672,25.020000457763672,25.020000457763672,1159,0.0,0.0,0.0,AGGA,60m
2025-06-02 09:30:00-04:00,25.010000228881836,25.010000228881836,25.010000228881836,25.010000228881836,266,0.0,0.0,0.0,AGGA,60m
2025-06-02 12:30:00-04:00,25.0,25.0,25.0,25.0,41494,0.0,0.0,0.0,AGGA,60m
2025-06-02 15:30:00-04:00,25.020000457763672,25.06999969482422,25.020000457763672,25.020000457763672,19149,0.0,0.0,0.0,AGGA,60m
2025-06-03 10:30:00-04:00,25.032800674438477,25.032800674438477,25.020000457763672,25.027999877929688,3760,0.0,0.0,0.0,AGGA,60m
2025-06-03 11:30:00-04:00,25.030000686645508,25.030000686645508,25.020000457763672,25.030000686645508,0,0.0,0.0,0.0,AGGA,60m
2025-06-03 13:30:00-04:00,25.020000457763672,25.020000457763672,25.010000228881836,25.010000228881836,6330,0.0,0.0,0.0,AGGA,60m
2025-06-03 14:30:00-04:00,25.003799438476562,25.003799438476562,24.989999771118164,24.989999771118164,2454,0.0,0.0,0.0,AGGA,60m
2025-06-03 15:30:00-04:00,25.020000457763672,25.020000457763672,25.020000457763672,25.020000457763672,0,0.0,0.0,0.0,AGGA,60m
2025-06-04 09:30:00-04:00,25.049999237060547,25.06999969482422,25.049999237060547,25.06999969482422,15062,0.0,0.0,0.0,AGGA,60m
2025-06-04 10:30:00-04:00,25.06279945373535,25.06279945373535,25.06279945373535,25.06279945373535,698,0.0,0.0,0.0,AGGA,60m
2025-06-04 11:30:00-04:00,25.059999465942383,25.100000381469727,25.059999465942383,25.100000381469727,22100,0.0,0.0,0.0,AGGA,60m
2025-06-04 13:30:00-04:00,25.109899520874023,25.109899520874023,25.109899520874023,25.109899520874023,0,0.0,0.0,0.0,AGGA,60m
2025-06-05 09:30:00-04:00,25.100000381469727,25.110000610351562,25.100000381469727,25.110000610351562,4336,0.0,0.0,0.0,AGGA,60m
2025-06-05 11:30:00-04:00,25.07539939880371,25.07539939880371,25.07539939880371,25.07539939880371,1100,0.0,0.0,0.0,AGGA,60m
2025-06-05 13:30:00-04:00,25.040000915527344,25.040000915527344,25.040000915527344,25.040000915527344,4700,0.0,0.0,0.0,AGGA,60m
2025-06-06 09:30:00-04:00,24.920000076293945,24.920000076293945,24.920000076293945,24.920000076293945,0,0.096,0.0,0.0,AGGA,60m
2025-06-06 10:30:00-04:00,24.920000076293945,24.920000076293945,24.920000076293945,24.920000076293945,0,0.0,0.0,0.0,AGGA,60m
2025-06-06 11:30:00-04:00,24.920000076293945,24.920000076293945,24.91990089416504,24.91990089416504,4979,0.0,0.0,0.0,AGGA,60m
2025-06-06 12:30:00-04:00,24.90999984741211,24.90999984741211,24.90999984741211,24.90999984741211,136,0.0,0.0,0.0,AGGA,60m
