ticker,signal,confidence,strength,factors,current_price,price_change_1d,price_change_7d,sma_20,sma_50,rsi,macd,macd_signal,atr,bb_upper,bb_lower,bb_middle,volume,average_volume,relative_volume,week_52_high,week_52_low,week_52_position_pct,fifty_day_average,two_hundred_day_average,sector,industry,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio,price_to_book,price_to_sales,profit_margins,revenue_growth,earnings_growth,return_on_equity,return_on_assets,gross_margins,operating_margins,debt_to_equity,current_ratio,quick_ratio,total_cash,total_debt,beta,dividend_yield,dividend_rate,payout_ratio,held_percent_institutions,held_percent_insiders,short_ratio,short_percent_of_float,target_high,target_low,target_mean,target_median,recommendation_key,recommendation_mean,num_analysts,analyzed_at,name,asset_type
AAPD,HOLD,50,Weak,"['✗ MACD bearish crossover', '✓ High volume (1.5x avg)', 'Mixed signals']",13.844,-0.12,-1.18,13.9664,13.6075,41.73,0.1258,0.1623,0.2809,14.433,13.4998,13.9664,13224700,8688853,1.52,21.959999084472656,12.399999618530273,15.1,13.675359916687011,14.506454954147339,,,,,,,,,,,,,,,,,,,,,,,3.51,,,,,,,,,,,,,,2026-04-05T17:04:47.765145,Direxion Daily AAPL Bear 1X ETF,stock
AAPG,BUY,80,Strong,"['✓ MACD bullish crossover', '✗ Price above upper BB', '✓ High volume (2.0x avg)', '✓ Analyst upside (80%)', '✓ Analyst rating: strong_buy']",27.32,3.96,22.07,23.5028,23.9693,59.11,0.2207,-0.3159,1.2818,26.9973,20.0083,23.5028,6500,3245,2.0,48.45000076293945,17.55500030517578,31.61,23.9693200302124,32.88529507637024,Healthcare,Biotechnology,2614573747.8341217,9646085120.0,,-22.861923,,52.72248,4.5540547,-2.16465,1.17,,-1.54564,-0.23023,0.91476,-1.9335,148.381,1.792,1.657,2470085120.0,1979719040.0,,,,0.0,0.00075999997,0.0,0.45,0.0,55.0,45.0,49.14286,48.0,strong_buy,1.28571,7.0,2026-04-05T17:04:48.051245,Ascentage Pharma Group International,stock
AAPL,BUY,75,Strong,"['✓ MACD bullish crossover', '✓ High ROE (152.0%)', '✓ Strong margins (27.0%)', '✓ Analyst rating: buy']",255.92,0.11,1.31,253.4105,260.304,59.42,-2.2731,-3.0079,5.1507,261.7831,245.0379,253.4105,31289400,47782011,0.65,288.6199951171875,169.2100067138672,72.62,260.36300018310544,249.1483994293213,Technology,Consumer Electronics,3761493195007.294,3780799365120.0,32.35398,27.4732,,42.667553,8.634863,0.27037,0.157,0.183,1.5202099,0.24377,0.47325,0.35374,102.63,0.974,0.845,66907000832.0,90509000704.0,,0.41,1.04,0.1304,0.65296996,0.01641,3.17,0.0085,350.0,205.0,295.07126,300.0,buy,1.89583,40.0,2026-04-05T17:04:48.417323,Apple Inc.,stock
AAPU,HOLD,50,Weak,"['✓ MACD bullish crossover', 'Mixed signals']",28.5,0.11,2.22,28.1055,29.956,58.01,-0.633,-0.801,1.1074,30.0575,26.1535,28.1055,1540900,2273580,0.68,40.70000076293945,15.890000343322754,50.83,30.115799980163573,30.019049978256227,,,,,28.33696,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,2026-04-05T17:04:48.699877,Direxion Daily AAPL Bull 2X ETF,stock
AARD,BUY,80,Strong,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', '✓ Low D/E (0.4%)', '✓ Analyst upside (293%)', '✓ Analyst rating: buy']",4.3,5.13,21.47,4.6028,9.0251,36.61,-1.4637,-1.7268,0.3846,6.3283,2.8772,4.6028,134700,291375,0.46,17.940000534057617,3.3499999046325684,6.51,9.025099987983703,11.404049993753434,Healthcare,Biotechnology,93808980.4610796,-15777024.0,,-1.2400866,,0.8797054,,0.0,,,-0.64439005,-0.40273,0.0,0.0,0.414,10.607,10.431,110027000.0,441000.0,,,,0.0,0.59168,0.16146,3.24,0.096,45.0,6.0,16.9,14.0,buy,1.66667,10.0,2026-04-05T17:04:48.953410,"Aardvark Therapeutics, Inc.",stock
AAUS,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', 'Mixed signals']",52.792,0.06,-0.02,53.0533,54.3831,46.51,-0.6768,-0.7023,0.5236,55.1258,50.9808,53.0533,100,1770,0.06,56.04999923706055,49.18600082397461,52.53,54.38309982299805,53.90231256051497,,,,,26.698982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05T17:04:49.212615,Alpha Architect US Equity ETF,stock
AAVM,WEAK_BUY,64,Moderate,"['✓ MACD bullish crossover', '✓ Low P/E (14.3)']",31.695,-0.77,0.29,31.2991,32.1685,55.98,-0.2683,-0.3552,0.5923,32.3055,30.2927,31.2991,2100,3235,0.65,33.9900016784668,21.100000381469727,82.2,32.168520050048826,29.415774993896484,,,,,14.324499,,,,,,,,,,,,,,,,,,1.79,,,,,,,,,,,,,,2026-04-05T17:04:49.533408,Alpha Architect Global Factor Equity ETF,stock
AAXJ,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', 'Mixed signals']",96.11,-1.11,-1.6,97.613,100.611,47.06,-1.5424,-1.461,2.4971,102.0894,93.1366,97.613,1504300,1138950,1.32,107.8499984741211,64.33000183105469,73.02,100.61100021362304,92.56000003814697,,,,,15.585361,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,2026-04-05T17:04:49.887521,iShares MSCI All Country Asia ex Japan ETF,stock
ABAT,STRONG_BUY,92,Very Strong,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ RSI oversold (28.2)', '✓ MACD bullish crossover', '✓ Low D/E (0.2%)', '✓ High short interest (16.8%)', '✓ Analyst upside (116%)']",2.78,2.21,-2.8,3.0435,3.5904,28.23,-0.2719,-0.2745,0.1949,3.6718,2.4152,3.0435,2202900,5099380,0.43,11.489999771118164,0.8600000143051147,18.06,3.590399994850159,3.5988000011444092,Industrials,Waste Management,366151697.3317683,318507584.0,,-19.857143,,3.061674,38.732918,0.0,13.318,,-0.43515998,-0.22697,-1.09766,-2.07455,0.21,14.882,12.395,47894544.0,250415.0,,,,0.0,0.34050998,0.04221,6.52,0.1676,6.0,6.0,6.0,6.0,none,,1.0,2026-04-05T17:04:50.142346,American Battery Technology Company,stock
ABCL,BUY,80,Strong,"['✓ MACD bullish crossover', '✓ Low D/E (14.8%)', '✓ High short interest (21.5%)', '✓ Analyst upside (160%)']",3.52,0.28,3.83,3.46,3.4664,51.9,-0.0193,-0.0297,0.1647,3.6684,3.2516,3.46,3490400,3921508,0.89,6.514999866485596,1.8910000324249268,35.23,3.4663999891281128,4.1291000008583065,Healthcare,Biotechnology,1067124908.4576726,676516928.0,,-4.571429,,1.0941871,14.20409,-1.94883,7.882,,-0.14475,-0.09986,-1.48681,-0.63724,14.812,11.324,10.074,533825984.0,143218000.0,,,,0.0,0.37328,0.22752,14.29,0.2148,12.0,7.0,9.16667,9.5,none,,6.0,2026-04-05T17:04:50.395509,AbCellera Biologics Inc.,stock
ABCS,WEAK_BUY,64,Moderate,"['✓ MACD bullish crossover', '✓ Low P/E (14.5)']",29.976,0.18,0.28,29.742,30.6778,57.42,-0.2841,-0.3684,0.3862,30.4369,29.0472,29.742,4100,3183,1.29,31.8700008392334,24.010000228881836,75.9,30.71942005157471,30.079609994888305,,,,,14.499352,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,2026-04-05T17:04:50.652906,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,stock
ABEO,STRONG_BUY,95,Very Strong,"['✓ MACD bullish crossover', '✓ Low P/E (4.8)', '✓ Low D/E (15.7%)', '✓ High ROE (70.0%)', '✓ Strong margins (1223.1%)', '✓ High short interest (28.1%)', '✓ Analyst upside (306%)']",4.82,5.24,9.05,4.6515,4.9292,51.79,-0.1388,-0.1677,0.2207,5.2358,4.0672,4.6515,766600,1248051,0.61,7.539999961853027,3.930000066757202,24.65,4.92920000076294,5.476450002193451,Healthcare,Biotechnology,274976300.65311384,108540288.0,4.7722774,20.083334,,1.6660907,47.24679,12.230761,,,0.70045996,-0.34036,0.0,-4.22712,15.682,6.93,6.7,191404000.0,24968000.0,,,,0.0,0.69481003,0.15684,15.17,0.28129998,28.0,13.0,19.57143,20.0,none,,7.0,2026-04-05T17:04:50.925207,Abeona Therapeutics Inc.,stock
ABI,HOLD,50,Weak,"['✓ Price above 20 & 50 SMA (uptrend)', 'Mixed signals']",24.885,0.16,0.22,24.8575,24.8473,54.24,-0.0012,-0.001,0.0221,24.9279,24.7871,24.8575,100,246,0.41,25.360000610351562,24.7450008392334,22.76,24.96062000274658,24.99662884977675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05T17:04:51.187916,VictoryShares Pioneer Asset-Based Income ETF,stock
ABIG,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', 'Mixed signals']",29.451,0.06,-0.27,29.6863,30.7247,45.41,-0.4716,-0.5012,0.3749,30.9061,28.4665,29.6863,6400,5698,1.12,32.986000061035156,24.989999771118164,55.79,30.724680023193358,31.171030082702636,,,,,27.610252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05T17:04:51.448315,Argent Large Cap ETF,stock
ABLV,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', 'Mixed signals']",0.61,-2.09,-5.86,0.6476,0.7138,33.87,-0.0262,-0.027,0.0256,0.7112,0.584,0.6476,2100,9543,0.22,1.7699999809265137,0.5899999737739563,1.69,0.7137600004673004,0.8414699989557266,Consumer Cyclical,Specialty Retail,30127853.1265285,35341628.0,,,,3.112245,0.26353994,0.02044,-0.239,,-1.20857,-0.11314999,0.091730006,0.03203,119.063,1.439,0.883,6283350.0,11497127.0,,,,0.0,0.0005,0.26943,15.59,0.0036000002,,,,,none,,,2026-04-05T17:04:51.701934,Able View Global Inc.,stock
ABNB,BUY,75,Strong,"['✓ Low D/E (27.7%)', '✓ High ROE (30.2%)', '✓ Strong margins (20.5%)', '✓ Strong institutional (87%)', '✓ Analyst rating: buy']",124.95,-0.19,-5.2,129.2825,128.4489,47.84,-1.2607,-0.5265,4.225,136.3245,122.2405,129.2825,3094700,4596153,0.67,143.8800048828125,99.87999725341797,56.98,128.4488995361328,128.1150750350952,Consumer Cyclical,Travel Services,74909267222.5286,66166267904.0,30.928217,21.606207,,9.174008,6.1195383,0.20513001,0.12,-0.237,0.30233,0.07367,0.82959,0.096829996,27.698,1.377,0.821,11013999616.0,2271000064.0,,,,0.0,0.87043,0.01364,2.71,0.0348,180.0,110.0,145.68056,145.25,buy,2.27273,36.0,2026-04-05T17:04:52.201163,"Airbnb, Inc.",stock
ABNG,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', 'Mixed signals']",14.408,-0.52,-10.86,15.6184,15.6886,46.12,-0.4268,-0.2488,0.7627,17.4649,13.772,15.6184,1200,1616,0.74,19.28700065612793,12.517000198364258,27.93,15.688579940795899,16.049744717618253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05T17:04:52.465745,Leverage Shares 2x Long ABNB Daily ETF,stock
ABOS,WEAK_BUY,64,Moderate,"['✓ Low D/E (44.5%)', '✓ Analyst upside (174%)', '✓ Analyst rating: strong_buy']",2.7,5.88,2.66,2.8615,2.7314,34.92,-0.1053,-0.0477,0.2629,3.6434,2.0796,2.8615,635900,854950,0.74,3.5999999046325684,0.8550000190734863,67.21,2.7313999843597414,1.9361249959468843,Healthcare,Biotechnology,194974450.04337263,109420448.0,,-1.9394321,,2.321582,,0.0,,,-0.96204,-0.4278,0.0,0.0,44.457,4.074,3.928,116865000.0,31311000.0,,,,0.0,0.62668,0.0626,3.31,0.023,10.0,4.0,7.4,8.0,strong_buy,1.0,5.0,2026-04-05T17:04:52.718806,"Acumen Pharmaceuticals, Inc.",stock
ABSI,STRONG_BUY,92,Very Strong,"['✓ Price above 20 & 50 SMA (uptrend)', '✓ Low D/E (2.8%)', '✓ High short interest (29.1%)', '✓ Strong institutional (76%)', '✓ Analyst upside (162%)', '✓ Analyst rating: strong_buy']",3.06,-2.86,4.79,2.7745,2.7733,66.83,0.0717,0.0333,0.2596,3.3213,2.2277,2.7745,4676300,3679867,1.27,5.228000164031982,2.010999917984009,32.61,2.7733000135421753,3.0868500089645385,Healthcare,Biotechnology,468245056.0240531,329255072.0,,-4.880616,,2.448,167.23038,0.0,-0.023,,-0.62501,-0.36263,0.0,-54.526154,2.799,6.57,6.338,144292000.0,5302000.0,,,,0.0,0.76359004,0.13352999,13.62,0.2908,10.0,4.2,8.02857,9.0,strong_buy,1.44444,7.0,2026-04-05T17:04:52.986851,Absci Corporation,stock
ABTC,BUY,75,Strong,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', '✓ Low D/E (28.3%)', '✓ Analyst upside (340%)']",0.909,-0.98,-7.53,0.9939,1.135,37.94,-0.0754,-0.0773,0.0764,1.1828,0.805,0.9939,7596400,13606864,0.56,14.649999618530273,0.6299999952316284,1.99,1.1349599862098694,4.0625649958848955,Financial Services,Capital Markets,962741074.5457829,1147737728.0,,45.47,,1.45504,5.2016845,-0.82722,4.002,,-0.18225001,-0.11565,0.50314,-1.23579,28.295,0.08,0.053,3822000.0,188395008.0,,,,0.0,0.24875,0.0066000004,0.92,,4.0,4.0,4.0,4.0,none,,2.0,2026-04-05T17:04:53.245954,American Bitcoin Corp.,stock
ABTS,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ RSI oversold (13.7)', '✓ Low D/E (23.1%)', 'Mixed signals']",1.49,5.67,-32.27,2.3805,2.9487,13.71,-0.4155,-0.3334,0.3021,3.4193,1.3417,2.3805,35100,672575,0.05,10.854999542236328,1.309999942779541,1.89,2.948699986934662,4.9278849989175795,Financial Services,Capital Markets,4712046.060159445,5692425.0,,,,0.36323744,0.63805884,-0.11861,0.06,,-0.08712,-0.08128,0.52326,-0.39512002,23.128,0.178,0.178,94132.0,2250000.0,,,,0.0,0.00306,0.21034999,0.04,0.0336,,,,,none,,,2026-04-05T17:04:53.504332,Abits Group Inc,stock
ABUS,STRONG_BUY,92,Very Strong,"['✓ Price above 20 & 50 SMA (uptrend)', '✓ MACD bullish crossover', '✓ Low D/E (5.5%)', '✓ High short interest (12.1%)', '✓ Analyst upside (25%)']",4.48,-0.88,-1.1,4.432,4.3236,57.43,0.0061,-0.0008,0.2129,4.7419,4.1221,4.432,612300,2205040,0.28,5.099999904632568,2.7100000381469727,74.06,4.3235999917984005,4.142299997806549,Healthcare,Biotechnology,875741748.3684483,788458752.0,,-27.104988,,11.256282,62.18432,-2.37883,-0.332,,-0.3852,-0.1494,-0.79230005,-7.27307,5.469,15.727,15.521,91471000.0,4188000.0,,,,0.0,0.63514,0.21451001,6.27,0.120799996,6.916678,4.8996124,5.5941987,4.9662986,none,,3.0,2026-04-05T17:04:53.760286,Arbutus Biopharma Corporation,stock
ABVC,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', '✓ Low D/E (26.1%)', 'Mixed signals']",1.09,0.93,0.93,1.2125,1.4994,39.05,-0.1399,-0.1408,0.1145,1.5427,0.8822,1.2125,54800,57390,0.95,5.480000019073486,0.7350000143051147,7.48,1.4993599951267242,2.450814993083477,Healthcare,Biotechnology,27944576.105734706,31846556.0,,-2.4772727,,2.3851204,,0.0,,,-1.19488,-0.31253,0.0,3.75824,26.119,0.406,0.121,745834.0,3473126.0,,,,0.0,0.03398,0.18978001,4.53,0.012,,,,,none,,,2026-04-05T17:04:54.019058,"ABVC BioPharma, Inc.",stock
ABVE,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', 'Mixed signals']",0.95,7.47,6.98,0.9996,1.4451,42.11,-0.1559,-0.1834,0.1724,1.3298,0.6693,0.9996,1173800,2018172,0.58,6.559999942779541,0.31700000166893005,10.14,1.4451200032234193,2.0733199998736382,Consumer Defensive,Packaged Foods,48632254.98974562,160284368.0,,,,-2.2277732,0.16496213,-0.23358,-0.45,,,,-0.027579999,-0.23252001,,0.232,0.071,664430.0,133839864.0,,,,0.0,0.14543,0.0535,1.09,0.0344,,,,,none,,,2026-04-05T17:04:54.296217,Above Food Ingredients Inc.,stock
ABVX,BUY,85,Strong,"['✓ MACD bullish crossover', '✓ Low D/E (7.0%)', '✓ Strong institutional (84%)', '✓ Analyst upside (31%)', '✓ Analyst rating: strong_buy']",118.37,2.96,6.93,114.5083,117.6901,52.65,-2.0027,-2.1001,6.3714,128.0657,100.9508,114.5083,963100,1216488,0.79,148.8300018310547,4.769999980926514,78.86,117.69009994506835,92.0935500073433,Healthcare,Biotechnology,9376393785.64386,8874857472.0,,-41.644386,,17.646246,2051.7273,0.0,-0.554,,-1.35583,-0.38954,1.0,-37.43365,7.05,8.747,8.583,530383008.0,32093000.0,,,,0.0,0.84183,0.0,3.63,0.0424,176.0,131.0,155.2,155.0,strong_buy,1.4,10.0,2026-04-05T17:04:54.788762,Abivax SA,stock
ACAD,STRONG_BUY,95,Very Strong,"['✓ MACD bullish crossover', '✓ Low P/E (9.7)', '✓ Low D/E (4.3%)', '✓ High ROE (39.9%)', '✓ Strong margins (36.5%)', '✓ Strong institutional (100%)', '✓ Analyst upside (43%)', '✓ Analyst rating: buy']",22.2,-0.54,0.86,21.4615,23.1264,62.14,-0.3732,-0.6305,0.8329,22.9103,20.0127,21.4615,1702900,1675650,1.02,28.350000381469727,13.399999618530273,58.86,23.12639991760254,23.734999952316283,Healthcare,Biotechnology,3784980538.677067,3017481472.0,9.652174,24.541777,,3.0803387,3.5323963,0.36491,0.094,0.862,0.39894,0.04761,0.61008,0.061240003,4.252,3.833,3.493,819686016.0,52187000.0,,,,0.0,0.99574,0.0056800004,4.85,0.0788,45.0,17.0,31.85,32.5,buy,1.7619,20.0,2026-04-05T17:04:55.316249,ACADIA Pharmaceuticals Inc.,stock
ACB,BUY,75,Strong,"['✓ MACD bullish crossover', '✓ Low D/E (17.8%)', '✓ Analyst upside (82%)']",3.44,2.69,0.58,3.3945,3.6396,50.41,-0.0995,-0.1141,0.1462,3.6521,3.1369,3.3945,697600,886701,0.79,6.664999961853027,3.069999933242798,10.29,3.6395999908447267,4.5083250033855435,Healthcare,Drug Manufacturers - Specialty & Generic,195080421.80493927,219091424.0,,-31.272728,,0.5057262,0.52283835,-0.22511,0.068,-0.947,-0.15509,-0.043569997,0.36027,0.02319,17.786,3.055,1.046,108450000.0,100995000.0,,,,0.0,0.12929,1.0000001e-05,11.22,,6.256991,6.256991,6.256991,6.256991,none,,1.0,2026-04-05T17:04:55.593686,Aurora Cannabis Inc.,stock
ACCL,BUY,75,Strong,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', '✓ Low D/E (12.5%)', '✓ High ROE (61.3%)', '✓ Strong margins (20.9%)']",1.37,3.79,-4.86,1.442,1.451,35.29,-0.0613,-0.0646,0.0654,1.6191,1.2649,1.442,12400,802424,0.02,5.0,1.2300000190734863,3.71,1.4510000014305116,2.588269572672637,Industrials,Consulting Services,19111363.066518307,16794710.0,19.571428,,,7.828572,3.9091945,0.20899001,0.007,-0.241,0.61266,0.20497,0.43768,0.21962999,12.521,1.824,1.82,2522104.0,273814.0,,,,0.0,0.00319,0.92156,1.16,0.028399998,,,,,none,,,2026-04-05T17:04:55.852136,Acco Group Holdings Limited,stock
ACDC,HOLD,50,Weak,"['✗ MACD bearish crossover', '✓ High short interest (17.2%)', 'Mixed signals']",6.08,2.88,-4.55,6.291,5.6506,45.71,0.1954,0.2895,0.4768,7.1531,5.4289,6.291,1176700,1376040,0.86,10.699999809265137,3.0799999237060547,39.37,5.650600004196167,5.151774996519089,Energy,Oil & Gas Equipment & Services,1099998164.436842,2425898240.0,,-6.6086955,,1.5326443,0.5664838,-0.19003001,-0.04,,-0.35193002,-0.03176,0.2509,-0.10446999,134.62,0.809,0.518,22900000.0,1185600000.0,,,,0.0,0.15464,0.84223,3.02,0.1725,5.0,2.0,4.0,5.0,underperform,3.6,5.0,2026-04-05T17:04:56.157769,ProFrac Holding Corp.,stock
ACEP,HOLD,50,Weak,"['✓ MACD bullish crossover', 'Mixed signals']",17.659,0.2,0.9,17.3462,17.6786,60.89,-0.0651,-0.1077,0.2105,17.7372,16.9551,17.3462,700,3464,0.2,18.270000457763672,15.460000038146973,78.26,17.678639907836914,17.15795501966155,,,,,26.128866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05T17:04:56.410557,ARS Core Equity Portfolio ETF,stock
