ticker,signal,confidence,strength,factors,current_price,price_change_1d,price_change_7d,sma_20,sma_50,rsi,macd,macd_signal,atr,bb_upper,bb_lower,bb_middle,volume,average_volume,relative_volume,week_52_high,week_52_low,week_52_position_pct,fifty_day_average,two_hundred_day_average,sector,industry,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio,price_to_book,price_to_sales,profit_margins,revenue_growth,earnings_growth,return_on_equity,return_on_assets,gross_margins,operating_margins,debt_to_equity,current_ratio,quick_ratio,total_cash,total_debt,beta,dividend_yield,dividend_rate,payout_ratio,held_percent_institutions,held_percent_insiders,short_ratio,short_percent_of_float,target_high,target_low,target_mean,target_median,recommendation_key,recommendation_mean,num_analysts,analyzed_at,name,asset_type
AACBU,HOLD,50,Weak,"['✓ Price above 20 & 50 SMA (uptrend)', 'Mixed signals']",10.7,0.0,0.0,10.672,10.642,,0.0241,0.0238,0.0,10.7964,10.5476,10.672,0,114,0.0,12.149999618530273,10.0600004196167,30.62,10.641999988555908,10.509200034141541,Financial Services,Shell Companies,269372495.1982498,296090304.0,,,,-21.485943,,0.0,,,,-0.0434,0.0,0.0,,0.135,0.023,32193.0,0.0,,,,,0.02228,0.00789,0.0,,,,,,none,,,2026-04-05T17:04:43.992572,Artius II Acquisition Inc.,stock
AACG,WEAK_SELL,64,Moderate,"['✗ Price below 20 & 50 SMA (downtrend)', '✗ MACD bearish crossover']",0.97,5.43,-3.96,0.9745,0.9778,47.62,-0.0073,0.0014,0.0786,1.057,0.892,0.9745,1900,13808,0.14,2.5799999237060547,0.7400000095367432,12.5,0.9777999985218048,1.2268499994277955,Consumer Defensive,Education & Training Services,30819288.0790174,5032445.0,,-0.97878784,,6.6218715,0.0584194,-0.04565,-0.117,,-0.0618,0.04955,0.46867,0.12222,143.68,2.587,2.513,85236288.0,45952816.0,,,,0.0,0.11887,0.05481,0.27,0.00029999999,,,,,none,,,2026-04-05T17:04:44.274451,ATA Creativity Global,stock
AADR,WEAK_BUY,64,Moderate,"['✓ MACD bullish crossover', '✓ Low P/E (13.7)']",83.25,-0.28,1.88,82.6021,89.2937,52.11,-2.284,-2.7735,2.016,88.1061,77.0982,82.6021,2200,3924,0.56,98.37999725341797,61.52000045776367,58.95,89.34199966430664,85.0065001296997,,,,,13.747068,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,2026-04-05T17:04:45.545055,AdvisorShares Dorsey Wright ADR ETF,stock
AAEQ,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', 'Mixed signals']",46.925,0.13,0.01,47.0912,48.2563,47.22,-0.593,-0.6246,0.509,48.9172,45.2653,47.0912,4200,4627,0.91,50.18899917602539,45.0099983215332,36.98,48.256319732666014,48.71049976348877,,,,,27.809435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05T17:04:45.805375,Alpha Architect US Equity 2 ETF,stock
AAL,BUY,80,Strong,"['✓ MACD bullish crossover', '✗ High P/E (63.8)', '✓ Strong institutional (71%)', '✓ Analyst upside (42%)', '✓ Analyst rating: buy']",10.84,-2.61,0.93,10.758,12.564,58.18,-0.5447,-0.6963,0.495,11.4052,10.1108,10.758,53047600,66554733,0.8,16.5,8.920000076293945,25.33,12.564000034332276,12.903499994277954,Industrials,Airlines,7157701672.074482,37572702208.0,63.764706,4.187074,,-1.9206237,0.13101424,0.0020299999,0.025,-0.831,,0.01706,0.22735001,0.03622,,0.498,0.349,6469000192.0,36884000768.0,,,,0.0,0.71142,0.01806,0.67,0.086,22.0,10.0,15.40208,15.0,buy,2.11538,24.0,2026-04-05T17:04:46.073484,"American Airlines Group, Inc.",stock
AALG,HOLD,50,Weak,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', '✓ High volume (2.6x avg)', 'Mixed signals']",8.035,-6.02,0.42,8.0713,11.5241,56.19,-1.0713,-1.3474,0.673,9.1042,7.0383,8.0713,101600,38532,2.64,20.43000030517578,7.070000171661377,7.22,11.524099979400635,13.53107604254847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-05T17:04:46.322280,Leverage Shares 2X Long AAL Daily ETF,stock
AAME,BUY,75,Strong,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ RSI oversold (24.3)', '✓ Low P/E (9.7)', '✓ Low D/E (39.0%)']",2.22,-1.33,-11.9,2.5565,2.637,24.3,-0.1066,-0.0722,0.1636,2.8977,2.2153,2.5565,11900,13453,0.88,3.7100000381469727,1.2599999904632568,39.18,2.6369999980926515,2.7037499988079072,Financial Services,Insurance - Life,45281846.743569374,53556848.0,9.652174,,,0.41379312,0.21747327,0.024530001,0.208,,0.04745,0.01485,0.12512,0.028789999,38.967,1.501,1.159,34444000.0,42664000.0,,0.9,0.02,0.087,0.052699998,0.80123,0.37,0.0011,,,,,none,,,2026-04-05T17:04:46.649757,Atlantic American Corporation,stock
AAOI,BUY,85,Strong,"['✓ Price above 20 & 50 SMA (uptrend)', '✗ MACD bearish crossover', '✓ High volume (2.3x avg)', '✓ Low D/E (33.8%)', '✓ High short interest (13.7%)', '✓ Strong institutional (72%)', '✓ Analyst rating: buy']",103.91,20.34,-9.18,99.9465,72.2066,53.01,5.2129,7.9766,13.6325,124.4523,75.4407,99.9465,20043600,8788756,2.28,128.9600067138672,9.711000442504883,78.99,72.20660018920898,39.20750009536743,Technology,Communication Equipment,8071222523.204803,7855851008.0,,32.497265,,10.61823,17.711119,-0.08389,0.339,,-0.079390004,-0.03979,0.30044,-0.08565,33.802,2.626,1.751,206140000.0,248082000.0,,,,0.0,0.71515,0.04079,0.99,0.1368,140.0,54.0,90.3,72.5,buy,2.33333,5.0,2026-04-05T17:04:46.917799,"Applied Optoelectronics, Inc.",stock
AAON,BUY,85,Strong,"['✗ Price below 20 & 50 SMA (downtrend)', '✓ MACD bullish crossover', '✗ High P/E (63.1)', '✓ Low D/E (46.6%)', '✓ High short interest (13.7%)', '✓ Strong institutional (92%)', '✓ Analyst upside (51%)']",81.36,-2.74,-7.37,83.6729,91.8193,46.19,-2.9248,-3.1633,4.6398,91.9457,75.4001,83.6729,630300,922932,0.68,116.04000091552734,62.0,35.83,91.91020050048829,87.57789989471435,Industrials,Building Products & Equipment,6641747090.065475,7047926272.0,63.06977,27.467928,,7.426068,4.6056843,0.07461,0.425,0.261,0.12514,0.06453,0.26748,0.105299994,46.605,2.627,1.78,13000.0,417111008.0,,0.49,0.4,0.3101,0.9213,0.16877002,8.53,0.1369,126.0,120.0,122.75,122.5,none,,4.0,2026-04-05T17:04:47.233370,"AAON, Inc.",stock
AAPB,HOLD,50,Weak,"['✓ MACD bullish crossover', 'Mixed signals']",27.497,0.03,2.29,27.0929,28.8494,58.4,-0.5926,-0.7552,0.9932,28.9474,25.2384,27.0929,42200,173022,0.24,37.88999938964844,14.5,55.57,28.849419898986817,28.203225011825563,,,,,,,,,,,,,,,,,,,,,,,4.76,,,,,,,,,,,,,,2026-04-05T17:04:47.493313,GraniteShares 2x Long AAPL Daily ETF,stock
