date,open,high,low,close,volume,dividends,stock_splits,capital_gains,ticker,interval
2024-12-16 00:00:00-05:00,23.257796991039978,23.257796991039978,22.273813483638172,22.723066329956055,185000,0.0,0.0,0.0,BEEX,1wk
2024-12-23 00:00:00-05:00,22.69126082011607,23.004347079453076,22.69126082011607,22.82345199584961,5000,0.0,0.0,0.0,BEEX,1wk
2024-12-30 00:00:00-05:00,22.55211212761486,22.55211212761486,22.373205694393935,22.540184020996094,5200,0.061,0.0,0.0,BEEX,1wk
2025-01-06 00:00:00-05:00,22.615170852223645,22.79056591915761,22.132829666137695,22.132829666137695,12300,0.0,0.0,0.0,BEEX,1wk
2025-01-13 00:00:00-05:00,22.223518480391746,22.761667392330107,22.173690722237662,22.721803665161133,2700,0.0,0.0,0.0,BEEX,1wk
2025-01-20 00:00:00-05:00,23.020776086921803,23.309780507807737,23.010810155055786,23.30878448486328,1700,0.0,0.0,0.0,BEEX,1wk
2025-01-27 00:00:00-05:00,23.279884147543143,23.37953966259645,23.200158595016234,23.2260684967041,2600,0.0,0.0,0.0,BEEX,1wk
2025-02-03 00:00:00-05:00,23.039709829911388,23.190192928752328,23.010809958312034,23.047683715820312,6800,0.0,0.0,0.0,BEEX,1wk
2025-02-10 00:00:00-05:00,23.01080895701864,23.200157851000405,22.99884907907924,23.114452362060547,81400,0.0,0.0,0.0,BEEX,1wk
2025-02-17 00:00:00-05:00,23.309779490657785,23.370571102145636,23.059640884399414,23.059640884399414,1600,0.0,0.0,0.0,BEEX,1wk
2025-02-24 00:00:00-05:00,23.200157587599648,23.200157587599648,22.751700186104625,23.080568313598633,1300,0.0,0.0,0.0,BEEX,1wk
2025-03-03 00:00:00-05:00,22.928093779448403,23.10050078279151,22.652043369517944,22.911151885986328,6700,0.0,0.0,0.0,BEEX,1wk
2025-03-10 00:00:00-04:00,22.582283437919763,22.582283437919763,21.926541121336506,22.359052658081055,2600,0.0,0.0,0.0,BEEX,1wk
2025-03-17 00:00:00-04:00,22.542422911350684,22.562352874407445,22.243450655813398,22.424827575683594,4500,0.0,0.0,0.0,BEEX,1wk
2025-03-24 00:00:00-04:00,22.63908736564231,22.759672665143917,22.08698844909668,22.08698844909668,8200,0.0,0.0,0.0,BEEX,1wk
2025-03-31 00:00:00-04:00,21.924546813866694,22.296266733450533,20.41972541809082,20.41972541809082,9400,0.0,0.0,0.0,BEEX,1wk
2025-04-07 00:00:00-04:00,20.549280663796317,21.41131375532783,19.642399931398593,21.16017723083496,10200,0.0,0.0,0.0,BEEX,1wk
2025-04-14 00:00:00-04:00,21.505988868393484,21.505988868393484,20.977805879165665,21.037601470947266,3200,0.0,0.0,0.0,BEEX,1wk
2025-04-21 00:00:00-04:00,20.529350059437935,21.695337471623304,20.419726710173805,21.6455078125,5500,0.0,0.0,0.0,BEEX,1wk
2025-04-28 00:00:00-04:00,21.62358270401347,22.30523681640625,21.386398101674782,22.30523681640625,1800,0.0,0.0,0.0,BEEX,1wk
2025-05-05 00:00:00-04:00,22.402901341349864,22.402901341349864,22.08399912878799,22.22351837158203,7100,0.0,0.0,0.0,BEEX,1wk
2025-05-12 00:00:00-04:00,22.681941263913895,22.98988151550293,22.671975332374245,22.98988151550293,25800,0.0,0.0,0.0,BEEX,1wk
2025-05-19 00:00:00-04:00,22.97094515615948,23.049674682978374,22.452730033459567,22.492591857910156,4700,0.0,0.0,0.0,BEEX,1wk
2025-05-26 00:00:00-04:00,22.95101539627923,22.970945358276367,22.85135798306533,22.970945358276367,5800,0.0,0.0,0.0,BEEX,1wk
2025-06-02 00:00:00-04:00,22.990878103718984,23.254968643188477,22.990878103718984,23.254968643188477,7600,0.0,0.0,0.0,BEEX,1wk
2025-06-09 00:00:00-04:00,23.289849701926258,23.534008370981567,23.269917838915642,23.330707550048828,45700,0.0,0.0,0.0,BEEX,1wk
2025-06-16 00:00:00-04:00,23.449301042917185,23.53899252657021,23.265932083129883,23.265932083129883,46600,0.0,0.0,0.0,BEEX,1wk
2025-06-23 00:00:00-04:00,23.206136221322787,23.897756280096715,23.206136221322787,23.873838424682617,61400,0.0,0.0,0.0,BEEX,1wk
2025-06-30 00:00:00-04:00,24.00737944164765,24.35318946838379,23.91768795973408,24.35318946838379,3800,0.0,0.0,0.0,BEEX,1wk
2025-07-07 00:00:00-04:00,24.156864428334067,24.285421711221613,24.117002603789324,24.19074821472168,66300,0.0,0.0,0.0,BEEX,1wk
2025-07-14 00:00:00-04:00,24.15686475921616,24.282432074341536,24.090095109225103,24.204700469970703,6500,0.0,0.0,0.0,BEEX,1wk
2025-07-21 00:00:00-04:00,24.28641982135313,24.565458297729492,24.216658301451982,24.565458297729492,3700,0.0,0.0,0.0,BEEX,1wk
2025-07-28 00:00:00-04:00,24.49071703451605,24.49569904989525,23.77816908444342,23.824010848999023,21900,0.0,0.0,0.0,BEEX,1wk
