ticker,signal,confidence,buy_score,sell_score,current_price,price_change_1d,price_change_7d,price_change_30d,rsi,sma_20,sma_50,macd,macd_signal,relative_volume,week_52_position_pct,trailing_pe,forward_pe,peg_ratio,beta,target_mean,upside_pct,analyst_recommendation,factors,analyzed_at
WH,HOLD,50,2,2,82.16,0.85,3.75,-1.97,77.95,77.5399,77.9766,0.8476,0.2487,0.63,55.17,32.864002,15.278106,,0.706,97.0,18.06,buy,RSI Overbought (77.9); MACD Above Signal; Analyst buy,2026-04-05T23:06:03.598295
BNGO,BUY,80,4,0,1.2,0.84,0.0,5.26,55.42,1.161,1.2046,-0.0026,-0.0099,0.33,3.15,,-1.0810812,,1.6,5.5,358.33,strong_buy,MACD Bullish Crossover; Analyst strong_buy; High Upside Potential (358.3%),2026-04-05T23:06:03.606021
NEM,BUY,80,5,0,114.05,0.23,12.34,-6.43,55.69,107.727,116.1477,-2.4542,-3.9167,0.84,77.35,17.848202,10.516736,,0.475,139.818,22.59,buy,MACD Bullish Crossover; Reasonable P/E (17.8); Analyst buy; High Upside Potential (22.6%),2026-04-05T23:06:03.613692
AACBU,WEAK_BUY,65,2,0,10.7,0.0,0.0,0.94,,10.672,10.642,0.0241,0.0238,0.0,30.62,,,,,,,none,Uptrend (price > SMA20 > SMA50); MACD Above Signal,2026-04-05T23:06:03.621239
RPD,STRONG_BUY,95,7,1,5.37,-1.29,-4.11,-18.26,20.16,6.133,7.8678,-0.6726,-0.7299,0.77,0.59,14.916666,3.3698347,,0.905,9.75727,81.7,hold,Downtrend (price < SMA20 < SMA50); RSI Oversold (20.2); MACD Bullish Crossover; Low P/E (14.9); High Upside Potential (81.7%),2026-04-05T23:06:03.629017
SGI,BUY,80,4,1,72.9,-0.96,-2.42,-19.91,41.12,75.448,84.7285,-3.5625,-3.8159,1.13,43.55,39.619564,17.813377,,1.329,103.375,41.8,strong_buy,Downtrend (price < SMA20 < SMA50); MACD Bullish Crossover; Analyst strong_buy; High Upside Potential (41.8%),2026-04-05T23:06:03.636672
TRU,HOLD,50,2,2,69.32,0.77,2.36,-8.88,48.35,70.725,74.0745,-1.9613,-1.9588,0.75,11.96,29.87931,11.8185215,,1.707,93.9,35.46,buy,Downtrend (price < SMA20 < SMA50); MACD Below Signal; Analyst buy; High Upside Potential (35.5%),2026-04-05T23:06:03.644304
VTR,WEAK_SELL,65,2,3,83.27,1.54,1.33,-2.49,38.23,83.8853,82.7435,-0.4847,-0.1629,1.12,81.93,154.20369,87.041504,,0.768,92.75,11.38,buy,RSI Near Oversold (38.2); MACD Below Signal; High P/E (154.2); Analyst buy,2026-04-05T23:06:03.651973
ARMK,HOLD,50,3,3,42.55,1.6,2.6,3.98,62.87,40.3565,40.0088,0.3479,0.1552,0.86,86.68,35.7563,16.263052,,1.136,47.09375,10.68,strong_buy,Uptrend (price > SMA20 > SMA50); RSI Elevated (62.9); MACD Above Signal; Price Above Upper BB; Analyst strong_buy,2026-04-05T23:06:03.659662
CBZ,BUY,80,5,0,27.61,4.43,7.89,-5.28,58.34,26.576,30.6588,-1.188,-1.7156,0.81,5.89,15.087432,6.350324,,0.932,44.33333,60.57,buy,MACD Bullish Crossover; Reasonable P/E (15.1); Analyst buy; High Upside Potential (60.6%),2026-04-05T23:06:03.667338
BE,WEAK_SELL,65,1,2,135.63,2.4,-9.71,-8.08,41.25,146.2895,151.0022,-5.5403,-3.2252,0.49,72.69,,46.117756,,3.185,143.92,6.11,buy,Downtrend (price < SMA20 < SMA50); MACD Below Signal; Analyst buy,2026-04-05T23:06:03.675038
GCO,BUY,80,4,1,28.39,-0.73,2.94,-2.94,66.7,26.6955,27.9014,0.3007,-0.097,0.79,53.6,22.712,10.361314,,1.777,36.0,26.81,none,RSI Elevated (66.7); MACD Bullish Crossover; Reasonable P/E (22.7); High Upside Potential (26.8%),2026-04-05T23:06:03.682799
BNDX,WEAK_BUY,65,2,1,47.96,-0.1,-0.02,-1.65,51.51,47.9716,48.2935,-0.1518,-0.1689,0.8,15.45,,,,,,,none,Downtrend (price < SMA20 < SMA50); MACD Bullish Crossover,2026-04-05T23:06:03.690343
BTSGU,WEAK_BUY,65,2,1,143.86,-0.57,-3.35,6.28,63.82,139.9702,136.0312,2.2497,2.1557,0.09,92.34,,,,2.048,,,none,Uptrend (price > SMA20 > SMA50); RSI Elevated (63.8); MACD Above Signal,2026-04-05T23:06:03.697936
DOX,BUY,80,6,0,66.43,2.04,2.46,-4.49,52.98,65.4902,69.7447,-1.2654,-1.7254,0.49,9.66,12.84913,8.203666,,0.474,90.568,36.34,buy,MACD Bullish Crossover; Low P/E (12.8); Analyst buy; High Upside Potential (36.3%),2026-04-05T23:06:03.705570
UEC,BUY,80,4,0,13.57,1.04,0.97,-16.49,51.35,13.357,15.2322,-0.4925,-0.6262,0.66,58.94,,361.86664,,1.191,19.16667,41.24,strong_buy,MACD Bullish Crossover; Analyst strong_buy; High Upside Potential (41.2%),2026-04-05T23:06:03.714975
BL,HOLD,50,3,3,36.29,-0.49,-2.1,0.39,47.64,37.1825,39.8806,-0.7643,-0.8985,0.5,16.32,93.051285,13.156511,,0.879,55.23077,52.19,hold,Downtrend (price < SMA20 < SMA50); MACD Bullish Crossover; High P/E (93.1); High Upside Potential (52.2%),2026-04-05T23:06:03.722658
ONIT,BUY,80,6,0,39.67,0.94,3.33,-5.88,59.92,38.543,41.9244,-0.7954,-1.1917,0.34,49.55,1.8485554,4.01925,,1.565,60.0,51.25,strong_buy,MACD Bullish Crossover; Low P/E (1.8); Analyst strong_buy; High Upside Potential (51.2%),2026-04-05T23:06:03.730331
TRI,WEAK_BUY,65,3,2,90.19,2.43,3.19,8.4,34.68,95.1315,97.0755,-2.94,-2.6757,0.57,7.56,27.413376,17.914997,,0.195,130.5,44.69,buy,Downtrend (price < SMA20 < SMA50); RSI Near Oversold (34.7); MACD Below Signal; Analyst buy; High Upside Potential (44.7%),2026-04-05T23:06:03.738041
AMBP,WEAK_BUY,65,2,1,4.09,-0.49,-3.76,-10.93,49.62,4.1302,4.3889,-0.1008,-0.107,0.59,62.48,,13.624704,,0.627,4.79167,17.16,hold,Downtrend (price < SMA20 < SMA50); MACD Bullish Crossover,2026-04-05T23:06:03.745629
WGS,BUY,80,5,1,66.2,1.04,-1.12,-19.33,35.16,72.904,82.6874,-6.427,-6.4978,0.43,9.53,,32.180595,,2.191,148.88889,124.91,strong_buy,Downtrend (price < SMA20 < SMA50); RSI Near Oversold (35.2); MACD Bullish Crossover; Analyst strong_buy; High Upside Potential (124.9%),2026-04-05T23:06:03.753394
ACTG,HOLD,50,2,2,5.0,1.63,-0.79,20.19,56.25,4.8145,4.3576,0.1823,0.208,0.69,91.63,22.727272,-9.433963,,0.445,6.0,20.0,none,Uptrend (price > SMA20 > SMA50); MACD Bearish Crossover; Reasonable P/E (22.7),2026-04-05T23:06:03.761023
ALZN,WEAK_BUY,65,3,2,1.0,-1.96,-48.19,-49.24,17.9,1.7205,1.8862,-0.256,-0.1575,0.66,0.26,,-0.38457692,,-0.051,28.0,2700.0,none,Downtrend (price < SMA20 < SMA50); RSI Oversold (17.9); MACD Below Signal; High Upside Potential (2700.0%),2026-04-05T23:06:03.768898
LFUS,WEAK_BUY,65,2,0,346.54,0.3,-1.58,-6.42,58.8,331.2795,336.4989,1.7706,0.707,0.65,85.94,,22.824965,,1.393,367.0,5.9,strong_buy,MACD Above Signal; Analyst strong_buy,2026-04-05T23:06:03.776689
CYH,BUY,80,4,2,2.96,-0.34,0.68,-16.85,33.33,3.07,3.2208,-0.1068,-0.1037,0.51,32.29,0.7851459,-348.2353,,1.973,3.6,21.62,hold,Downtrend (price < SMA20 < SMA50); RSI Near Oversold (33.3); MACD Below Signal; Low P/E (0.8); High Upside Potential (21.6%),2026-04-05T23:06:03.785197
ZTS,BUY,80,5,0,117.94,0.55,1.05,-8.42,54.88,117.5805,122.8018,-1.8966,-2.2696,0.49,7.89,19.62396,15.633886,,0.974,151.0,28.03,buy,MACD Bullish Crossover; Reasonable P/E (19.6); Analyst buy; High Upside Potential (28.0%),2026-04-05T23:06:03.792940
AMWD,WEAK_BUY,65,3,1,38.27,-3.11,-9.97,-33.3,45.65,40.035,50.8202,-2.9867,-3.5754,0.62,7.53,32.99138,21.300518,,1.338,59.0,54.17,none,Downtrend (price < SMA20 < SMA50); MACD Bullish Crossover; High Upside Potential (54.2%),2026-04-05T23:06:03.800561
SSRM,BUY,80,6,0,31.58,0.25,21.09,3.68,59.69,27.685,27.6792,0.2622,-0.2863,1.42,92.31,17.07027,5.4970684,,0.898,42.5,34.58,strong_buy,Uptrend (price > SMA20 > SMA50); MACD Bullish Crossover; Reasonable P/E (17.1); Analyst strong_buy; High Upside Potential (34.6%),2026-04-05T23:06:03.808326
NJR,BUY,80,4,2,55.96,1.76,3.4,6.02,55.84,54.369,52.7911,0.6847,0.65,0.72,99.68,17.325077,16.317057,,0.563,55.0,-1.72,buy,Uptrend (price > SMA20 > SMA50); MACD Above Signal; Price Above Upper BB; Reasonable P/E (17.3); Analyst buy,2026-04-05T23:06:03.815984
AES,BUY,80,4,0,14.3,0.7,1.71,-13.39,59.02,14.1455,14.9895,-0.2353,-0.291,0.55,59.1,10.916031,5.9904823,,1.008,15.33333,7.23,hold,MACD Bullish Crossover; Low P/E (10.9),2026-04-05T23:06:03.823690
AAL,BUY,80,4,2,10.84,-2.61,0.93,-20.24,58.18,10.758,12.564,-0.5447,-0.6963,0.8,25.33,63.764706,4.187074,,1.248,15.40208,42.09,buy,MACD Bullish Crossover; High P/E (63.8); Analyst buy; High Upside Potential (42.1%),2026-04-05T23:06:03.831437
CGCTU,WEAK_SELL,65,0,2,10.59,0.0,0.0,-0.56,49.12,10.6395,10.6588,-0.0185,-0.0105,0.0,38.82,,,,,,,none,Downtrend (price < SMA20 < SMA50); MACD Below Signal,2026-04-05T23:06:03.839061
BLDP,HOLD,50,2,2,2.48,2.9,-2.36,17.54,53.66,2.38,2.2982,0.0455,0.0475,0.55,47.74,,-15.883182,,1.538,3.18636,28.48,hold,Uptrend (price > SMA20 > SMA50); MACD Bearish Crossover; High Upside Potential (28.5%),2026-04-05T23:06:03.846771
NTCT,WEAK_BUY,65,3,1,32.27,-0.12,-0.09,8.65,67.22,31.0465,29.5932,0.7567,0.707,0.81,95.03,24.263157,12.95984,,0.575,30.42333,-5.72,none,Uptrend (price > SMA20 > SMA50); RSI Elevated (67.2); MACD Above Signal; Reasonable P/E (24.3),2026-04-05T23:06:03.854459
PI,WEAK_BUY,65,3,1,100.45,-1.46,-3.49,-21.47,62.62,98.5757,118.3061,-5.1061,-7.0473,0.32,21.27,,32.381393,,1.663,167.0,66.25,none,RSI Elevated (62.6); MACD Bullish Crossover; High Upside Potential (66.3%),2026-04-05T23:06:03.862084
SPXC,BUY,80,4,1,197.29,-2.89,-1.98,-18.57,48.37,201.2635,215.3214,-5.3258,-5.8959,0.77,62.49,39.067326,22.416592,,1.342,260.41666,32.0,strong_buy,Downtrend (price < SMA20 < SMA50); MACD Bullish Crossover; Analyst strong_buy; High Upside Potential (32.0%),2026-04-05T23:06:03.869822
AVNW,STRONG_BUY,95,8,3,20.21,2.75,-18.8,-18.18,28.53,24.289,24.2758,-0.9155,-0.2881,2.22,39.3,17.880531,6.3671284,,0.821,34.85714,72.47,strong_buy,Strong Downtrend (below both SMAs); RSI Oversold (28.5); MACD Below Signal; Price Below Lower BB; Reasonable P/E (17.9); High Volume + Price Up; Analyst strong_buy; High Upside Potential (72.5%),2026-04-05T23:06:03.877460
BPOP,BUY,80,5,3,136.81,0.27,2.53,-6.75,69.59,131.3294,135.2672,-0.0766,-0.8884,0.61,82.41,11.113729,8.499273,,0.614,159.8,16.8,buy,RSI Elevated (69.6); MACD Bullish Crossover; Price Above Upper BB; Low P/E (11.1); Analyst buy,2026-04-05T23:06:03.885058
CEG,HOLD,50,3,3,272.82,-2.38,-10.06,-7.34,37.47,300.3211,295.208,-6.2987,-2.8164,0.85,44.35,36.917458,19.632988,,1.188,375.82263,37.75,buy,Strong Downtrend (below both SMAs); RSI Near Oversold (37.5); MACD Below Signal; Analyst buy; High Upside Potential (37.8%),2026-04-05T23:06:03.892674
STOK,WEAK_SELL,65,1,3,32.74,2.34,-3.11,-4.52,48.3,33.964,33.1542,-0.4587,-0.2502,0.71,78.55,,-10.306391,,1.221,45.1,37.75,none,Strong Downtrend (below both SMAs); MACD Below Signal; High Upside Potential (37.8%),2026-04-05T23:06:03.900318
AIMD,WEAK_BUY,65,2,1,1.44,0.0,0.0,7.46,52.63,1.4475,1.6187,-0.0488,-0.0557,0.01,5.56,,,,,,,none,Downtrend (price < SMA20 < SMA50); MACD Bullish Crossover,2026-04-05T23:06:03.907966
MLYS,WEAK_BUY,65,3,0,26.97,2.12,9.55,-3.26,53.07,25.3915,28.1344,-0.7694,-1.2354,1.3,44.42,,-14.737704,,0.69,49.375,83.07,none,MACD Bullish Crossover; High Upside Potential (83.1%),2026-04-05T23:06:03.915570
APLM,BUY,80,4,2,14.72,0.0,-17.63,-26.14,5.71,18.313,19.1015,-1.1758,-0.7436,0.0,28.76,,-22.646154,,1.832,,,none,Downtrend (price < SMA20 < SMA50); RSI Oversold (5.7); MACD Below Signal; Price Below Lower BB,2026-04-05T23:06:03.923023
NESR,BUY,80,4,2,22.64,2.72,1.3,-7.21,71.71,21.068,21.7303,0.0576,-0.0668,0.84,80.55,43.538464,9.3290415,,0.291,28.85714,27.46,buy,RSI Overbought (71.7); MACD Bullish Crossover; Analyst buy; High Upside Potential (27.5%),2026-04-05T23:06:03.930635
CNC,WEAK_BUY,65,3,0,35.11,3.42,7.27,-18.8,52.9,35.088,39.53,-2.0541,-2.273,0.72,24.49,,8.612485,,0.587,43.17647,22.97,hold,MACD Bullish Crossover; High Upside Potential (23.0%),2026-04-05T23:06:03.938265
EL,BUY,80,4,2,69.12,-2.25,-5.46,-39.3,22.25,80.949,98.0561,-8.7464,-8.1982,1.7,28.32,,22.811203,,1.252,104.18182,50.73,buy,Downtrend (price < SMA20 < SMA50); RSI Oversold (22.2); MACD Below Signal; Analyst buy; High Upside Potential (50.7%),2026-04-05T23:06:03.945911
MBIN,HOLD,50,4,4,44.49,0.52,3.61,-1.6,70.6,42.2892,42.325,0.4178,0.2007,0.5,81.13,11.769842,7.719496,,1.161,48.66667,9.39,buy,RSI Overbought (70.6); MACD Above Signal; Price Above Upper BB; Low P/E (11.8); Analyst buy,2026-04-05T23:06:03.953522
BOTJ,BUY,80,4,2,21.1,1.93,0.86,0.96,52.55,20.5905,20.1618,0.21,0.2211,2.7,95.41,10.602964,,,0.118,,,none,Uptrend (price > SMA20 > SMA50); MACD Bearish Crossover; Low P/E (10.6); High Volume + Price Up,2026-04-05T23:06:03.961016
FULT,BUY,80,5,3,20.53,-0.24,3.1,-7.44,67.57,19.7279,20.6177,-0.0888,-0.2417,0.77,71.59,9.870193,8.836455,,0.825,22.91667,11.63,buy,RSI Elevated (67.6); MACD Bullish Crossover; Price Above Upper BB; Low P/E (9.9); Analyst buy,2026-04-05T23:06:03.968665
ACHR,WEAK_BUY,65,3,2,5.42,4.03,-2.52,-21.79,37.55,5.803,6.6668,-0.4566,-0.4429,0.61,6.31,,-5.198443,,3.243,11.05556,103.98,buy,Downtrend (price < SMA20 < SMA50); RSI Near Oversold (37.6); MACD Below Signal; Analyst buy; High Upside Potential (104.0%),2026-04-05T23:06:03.976299
CLYM,HOLD,50,2,2,6.56,-5.61,-6.02,16.52,43.27,6.9535,6.2222,0.1125,0.2032,0.7,78.83,,-4.4931507,,-0.203,15.36364,134.2,strong_buy,MACD Bearish Crossover; Analyst strong_buy; High Upside Potential (134.2%),2026-04-05T23:06:03.983981
SKT,WEAK_SELL,65,0,1,34.57,1.23,1.83,-2.84,43.26,34.8235,34.5476,-0.3057,-0.2018,0.57,63.5,34.91919,28.435822,,1.183,38.54545,11.5,hold,MACD Below Signal,2026-04-05T23:06:03.991651
PSFE,WEAK_SELL,65,1,3,6.84,1.94,-0.44,9.09,47.78,7.0145,6.8652,-0.0567,-0.0264,1.0,8.45,,2.5536397,,1.668,8.59,25.58,none,Strong Downtrend (below both SMAs); MACD Below Signal; High Upside Potential (25.6%),2026-04-05T23:06:03.999300
AGIO,HOLD,50,4,4,35.2,2.95,18.96,20.34,85.03,29.3845,28.7594,1.2581,0.5314,1.53,54.55,,-7.025948,,0.785,43.75,24.29,buy,Uptrend (price > SMA20 > SMA50); RSI Overbought (85.0); MACD Above Signal; Price Above Upper BB; Analyst buy; High Upside Potential (24.3%),2026-04-05T23:06:04.006948
GEF,WEAK_BUY,65,2,0,66.96,-0.49,0.33,-9.54,50.5,66.3474,70.2231,-0.9711,-1.3679,0.77,64.79,27.66942,14.277185,,0.932,79.0,17.98,none,MACD Bullish Crossover,2026-04-05T23:06:04.014640
COLD,BUY,80,4,0,11.48,2.23,3.58,-12.64,58.88,11.3451,12.0716,-0.2738,-0.3341,0.8,12.96,,153.06665,,0.914,14.58824,27.08,buy,MACD Bullish Crossover; Analyst buy; High Upside Potential (27.1%),2026-04-05T23:06:04.022416
MCB,BUY,80,5,1,83.47,0.45,2.0,-11.31,69.45,80.7255,87.0821,-0.7414,-1.4086,0.62,71.68,12.608762,7.1956897,,1.138,103.5,24.0,none,RSI Elevated (69.5); MACD Bullish Crossover; Low P/E (12.6); High Upside Potential (24.0%),2026-04-05T23:06:04.029970
CHSN,WEAK_BUY,65,3,2,2.34,-7.87,-16.43,9.35,38.84,2.541,2.2594,0.1147,0.1438,1.35,1.22,2.387755,,,-2.766,,,none,RSI Near Oversold (38.8); MACD Bearish Crossover; Low P/E (2.4),2026-04-05T23:06:04.037465
ACAD,BUY,80,6,1,22.2,-0.54,0.86,-7.46,62.14,21.4615,23.1264,-0.3732,-0.6305,1.01,58.86,9.652174,24.541777,,0.834,31.85,43.47,buy,RSI Elevated (62.1); MACD Bullish Crossover; Low P/E (9.7); Analyst buy; High Upside Potential (43.5%),2026-04-05T23:06:04.045015
EHAB,SELL,80,1,4,14.0,0.21,2.41,26.24,77.14,13.708,12.5256,0.3724,0.423,0.71,97.16,,22.539928,,1.084,13.83333,-1.19,hold,Uptrend (price > SMA20 > SMA50); RSI Overbought (77.1); MACD Bearish Crossover,2026-04-05T23:06:04.052699
DNUT,WEAK_SELL,65,1,2,3.4,0.59,1.49,12.21,54.55,3.4165,3.2982,-0.0034,0.007,0.62,27.86,,-42.13135,,1.273,4.35,27.94,hold,MACD Bearish Crossover; High Upside Potential (27.9%),2026-04-05T23:06:04.060413
GIS,BUY,80,5,1,37.42,0.56,3.46,-16.14,32.12,38.5495,42.92,-1.8032,-1.9653,0.74,7.26,9.149143,11.366811,,0.0,40.89474,9.29,hold,Downtrend (price < SMA20 < SMA50); RSI Near Oversold (32.1); MACD Bullish Crossover; Low P/E (9.1),2026-04-05T23:06:04.068065
CCAP,BUY,80,6,0,12.37,0.9,-0.21,-3.81,49.68,12.3648,12.9872,-0.2076,-0.2313,1.0,10.92,13.301075,7.9909563,,0.597,15.14286,22.42,buy,MACD Bullish Crossover; Low P/E (13.3); Analyst buy; High Upside Potential (22.4%),2026-04-05T23:06:04.075656
CELC,WEAK_BUY,65,3,0,112.63,-0.27,2.19,7.48,48.31,111.7315,109.9658,0.3525,0.208,0.69,93.18,,-102.39091,,0.422,128.6,14.18,strong_buy,Uptrend (price > SMA20 > SMA50); MACD Above Signal; Analyst strong_buy,2026-04-05T23:06:04.083274
VNOM,WEAK_SELL,65,2,3,46.47,2.36,-2.09,3.02,61.3,46.052,44.1693,0.8373,1.0674,0.68,81.84,,20.42386,,0.297,54.88889,18.12,strong_buy,Uptrend (price > SMA20 > SMA50); RSI Elevated (61.3); MACD Bearish Crossover; Analyst strong_buy,2026-04-05T23:06:04.090845
KNX,SELL,80,3,4,58.6,1.77,4.01,-4.71,82.6,55.1245,57.5869,-0.1539,-0.7306,0.62,79.33,142.92683,19.737816,,1.115,64.57895,10.2,buy,RSI Overbought (82.6); MACD Bullish Crossover; High P/E (142.9); Analyst buy,2026-04-05T23:06:04.098575
MPB,BUY,80,5,1,32.34,-0.09,2.21,-4.43,62.44,31.534,32.4932,-0.0726,-0.2329,1.63,75.24,12.682353,8.074906,,0.498,36.5,12.86,strong_buy,RSI Elevated (62.4); MACD Bullish Crossover; Low P/E (12.7); Analyst strong_buy,2026-04-05T23:06:04.106144
EQBK,WEAK_BUY,65,3,1,44.7,0.49,2.71,-3.39,61.59,43.8191,45.1222,-0.224,-0.4294,1.38,66.35,36.341465,8.415433,,0.85,52.33333,17.08,buy,RSI Elevated (61.6); MACD Bullish Crossover; Analyst buy,2026-04-05T23:06:04.113763
APTV,BUY,80,5,4,60.99,-1.77,-13.97,-23.35,30.21,69.471,74.9658,-2.992,-2.4203,1.62,33.06,81.32,6.606484,,1.511,92.42542,51.54,buy,Downtrend (price < SMA20 < SMA50); RSI Near Oversold (30.2); MACD Below Signal; Price Below Lower BB; High P/E (81.3); Analyst buy; High Upside Potential (51.5%),2026-04-05T23:06:04.121431
KIM,WEAK_SELL,65,1,2,22.6,0.67,0.85,-1.37,44.75,22.768,22.2886,-0.026,0.057,0.83,78.09,27.560976,26.036867,,1.051,24.875,10.07,buy,MACD Bearish Crossover; Analyst buy,2026-04-05T23:06:04.129121
EMR,BUY,80,4,1,131.7,-0.51,0.64,-11.38,48.96,131.901,142.7941,-3.9732,-4.6067,0.74,55.45,32.27941,18.377249,,1.278,164.94667,25.24,buy,Downtrend (price < SMA20 < SMA50); MACD Bullish Crossover; Analyst buy; High Upside Potential (25.2%),2026-04-05T23:06:04.136777
MRP,BUY,80,4,2,27.63,-0.43,-3.48,-8.58,50.61,28.1022,29.2214,-0.5396,-0.5096,0.97,41.73,11.32377,8.74367,,,38.6,39.7,strong_buy,Downtrend (price < SMA20 < SMA50); MACD Below Signal; Low P/E (11.3); Analyst strong_buy; High Upside Potential (39.7%),2026-04-05T23:06:04.144334
MAS,BUY,80,4,1,59.12,-2.59,-3.9,-21.33,40.84,60.9405,67.0772,-2.2203,-2.4303,0.77,11.35,15.316062,12.780244,,1.291,80.31579,35.85,none,Downtrend (price < SMA20 < SMA50); MACD Bullish Crossover; Reasonable P/E (15.3); High Upside Potential (35.9%),2026-04-05T23:06:04.151955
CHH,BUY,80,4,2,103.87,0.96,4.81,-5.48,71.81,99.0674,103.3516,-0.1922,-1.0707,0.53,37.84,13.148102,13.435415,,0.753,112.0,7.83,hold,RSI Overbought (71.8); MACD Bullish Crossover; Low P/E (13.1),2026-04-05T23:06:04.159656
SEB,HOLD,50,4,4,5906.7798,2.53,9.28,19.79,81.53,5206.0985,5156.8107,186.8132,100.1493,0.57,99.27,11.481069,,,0.276,,,none,Uptrend (price > SMA20 > SMA50); RSI Overbought (81.5); MACD Above Signal; Price Above Upper BB; Low P/E (11.5),2026-04-05T23:06:04.167264
CCL,BUY,80,6,0,25.64,-3.54,-0.35,-19.85,57.81,25.174,28.612,-0.9102,-1.2394,1.09,55.75,11.295154,9.823717,,2.482,34.94783,36.3,buy,MACD Bullish Crossover; Low P/E (11.3); Analyst buy; High Upside Potential (36.3%),2026-04-05T23:06:04.175036
NPK,WEAK_BUY,65,2,1,141.65,-0.17,3.6,12.35,61.52,136.406,131.1911,2.1825,1.8874,0.58,88.63,30.59395,162.81609,,0.485,,,none,Uptrend (price > SMA20 > SMA50); RSI Elevated (61.5); MACD Above Signal,2026-04-05T23:06:04.182625
CBFV,HOLD,50,3,3,35.2,1.94,4.54,1.35,60.51,34.082,34.9936,-0.0581,-0.2219,0.37,78.22,38.260868,10.403951,,0.263,39.33333,11.74,buy,RSI Elevated (60.5); MACD Bullish Crossover; Price Above Upper BB; Analyst buy,2026-04-05T23:06:04.190307
VRSK,WEAK_BUY,65,3,2,185.08,0.86,0.02,1.67,31.26,196.8876,197.058,-4.2585,-2.5959,0.69,12.94,28.56173,21.538912,,0.819,229.5294,24.02,buy,Downtrend (price < SMA20 < SMA50); RSI Near Oversold (31.3); MACD Below Signal; Analyst buy; High Upside Potential (24.0%),2026-04-05T23:06:04.197990
