ticker,signal,confidence,buy_score,sell_score,current_price,price_change_1d,price_change_7d,price_change_30d,rsi,sma_20,sma_50,macd,macd_signal,relative_volume,week_52_position_pct,trailing_pe,forward_pe,peg_ratio,beta,target_mean,upside_pct,analyst_recommendation,factors,analyzed_at
ESS,WEAK_BUY,65,3,0,247.34,1.75,3.25,-1.77,50.09,244.5666,248.9392,-2.2766,-2.7039,0.87,15.96,23.805582,40.24727,,0.725,279.21738,12.89,hold,MACD Bullish Crossover; Reasonable P/E (23.8),2026-04-05T23:06:03.520431
PEY,HOLD,50,3,3,21.57,1.03,2.37,-1.79,67.21,21.0362,21.4177,-0.0014,-0.0895,1.93,78.69,15.074041,,,,,,none,RSI Elevated (67.2); MACD Bullish Crossover; Price Above Upper BB; Reasonable P/E (15.1),2026-04-05T23:06:03.528374
EVGO,BUY,80,5,1,1.71,-3.39,-5.52,-38.93,30.11,1.953,2.5316,-0.2404,-0.2453,0.84,1.98,,-4.956522,,2.803,4.75,177.78,buy,Downtrend (price < SMA20 < SMA50); RSI Near Oversold (30.1); MACD Bullish Crossover; Analyst buy; High Upside Potential (177.8%),2026-04-05T23:06:03.536212
USFD,SELL,80,3,4,89.91,-1.01,-2.78,-7.03,34.72,91.0885,91.0494,-0.1403,0.0333,0.65,72.7,30.581633,15.970855,,0.98,109.53333,21.83,buy,Strong Downtrend (below both SMAs); RSI Near Oversold (34.7); MACD Bearish Crossover; Analyst buy; High Upside Potential (21.8%),2026-04-05T23:06:03.543867
PHAT,BUY,80,4,1,11.34,1.8,8.31,-0.7,62.8,10.7912,11.8867,-0.2785,-0.4479,0.66,56.71,,7.343609,,0.61,23.7,108.99,strong_buy,RSI Elevated (62.8); MACD Bullish Crossover; Analyst strong_buy; High Upside Potential (109.0%),2026-04-05T23:06:03.551494
DINO,HOLD,50,3,3,60.72,-0.33,-0.3,20.54,67.15,59.1425,55.4669,2.1613,2.1862,0.68,90.06,19.714287,11.498018,,0.691,63.93333,5.29,buy,Uptrend (price > SMA20 > SMA50); RSI Elevated (67.1); MACD Bearish Crossover; Reasonable P/E (19.7); Analyst buy,2026-04-05T23:06:03.559235
PTC,BUY,80,5,2,142.65,0.09,-0.63,-8.06,25.15,150.1735,154.4788,-4.5663,-3.8877,0.55,10.74,21.008835,17.24413,,1.058,190.52632,33.56,buy,Downtrend (price < SMA20 < SMA50); RSI Oversold (25.2); MACD Below Signal; Reasonable P/E (21.0); Analyst buy; High Upside Potential (33.6%),2026-04-05T23:06:03.566922
BIRK,BUY,80,5,2,34.62,-3.05,-4.81,-15.33,39.49,36.1115,38.181,-1.1223,-1.1175,0.5,5.9,14.731915,12.168227,,1.215,57.015717,64.69,strong_buy,Downtrend (price < SMA20 < SMA50); RSI Near Oversold (39.5); MACD Below Signal; Low P/E (14.7); Analyst strong_buy; High Upside Potential (64.7%),2026-04-05T23:06:03.575354
BTM,BUY,80,4,2,2.16,4.35,-17.4,-65.52,13.96,3.3965,5.0989,-0.9462,-0.91,0.57,0.55,,36.000004,,1.255,23.46667,986.42,buy,Downtrend (price < SMA20 < SMA50); RSI Oversold (14.0); MACD Below Signal; Analyst buy; High Upside Potential (986.4%),2026-04-05T23:06:03.582981
CUBE,WEAK_SELL,65,1,2,37.19,1.81,4.24,-6.36,42.89,37.2673,37.9537,-0.6504,-0.6125,1.29,29.83,25.4726,25.207405,,1.134,42.53333,14.37,buy,Downtrend (price < SMA20 < SMA50); MACD Below Signal; Analyst buy,2026-04-05T23:06:03.590611
