date,open,high,low,close,volume,dividends,stock_splits,ticker,interval
2009-10-26 00:00:00-04:00,9.399999618530273,9.5,8.369999885559082,9.149999618530273,2821400,0.0,0.0,ADUS,1wk
2009-11-02 00:00:00-05:00,8.779999732971191,9.149999618530273,8.069999694824219,8.510000228881836,207900,0.0,0.0,ADUS,1wk
2009-11-09 00:00:00-05:00,8.489999771118164,8.59000015258789,7.599999904632568,8.029999732971191,440500,0.0,0.0,ADUS,1wk
2009-11-16 00:00:00-05:00,8.210000038146973,8.25,7.519999980926514,8.0,341400,0.0,0.0,ADUS,1wk
2009-11-23 00:00:00-05:00,8.029999732971191,8.25,7.75,8.029999732971191,77300,0.0,0.0,ADUS,1wk
2009-11-30 00:00:00-05:00,8.039999961853027,8.460000038146973,7.849999904632568,8.3100004196167,221900,0.0,0.0,ADUS,1wk
2009-12-07 00:00:00-05:00,8.470000267028809,8.489999771118164,8.149999618530273,8.260000228881836,285800,0.0,0.0,ADUS,1wk
2009-12-14 00:00:00-05:00,8.3100004196167,8.770000457763672,7.949999809265137,8.0,401200,0.0,0.0,ADUS,1wk
2009-12-21 00:00:00-05:00,8.010000228881836,8.779999732971191,7.610000133514404,8.729999542236328,160400,0.0,0.0,ADUS,1wk
2009-12-28 00:00:00-05:00,8.84000015258789,9.399999618530273,8.5600004196167,9.199999809265137,180100,0.0,0.0,ADUS,1wk
2010-01-04 00:00:00-05:00,9.25,9.640000343322754,8.989999771118164,9.470000267028809,217800,0.0,0.0,ADUS,1wk
2010-01-11 00:00:00-05:00,9.399999618530273,9.569999694824219,8.760000228881836,9.3100004196167,145200,0.0,0.0,ADUS,1wk
2010-01-18 00:00:00-05:00,9.40999984741211,9.720000267028809,8.6899995803833,8.760000228881836,133900,0.0,0.0,ADUS,1wk
2010-01-25 00:00:00-05:00,8.8100004196167,9.229999542236328,8.260000228881836,8.819999694824219,128800,0.0,0.0,ADUS,1wk
2010-02-01 00:00:00-05:00,8.819999694824219,8.859999656677246,8.3100004196167,8.380000114440918,72300,0.0,0.0,ADUS,1wk
2010-02-08 00:00:00-05:00,8.739999771118164,8.739999771118164,8.199999809265137,8.4399995803833,32100,0.0,0.0,ADUS,1wk
2010-02-15 00:00:00-05:00,8.850000381469727,8.859999656677246,8.25,8.399999618530273,46400,0.0,0.0,ADUS,1wk
2010-02-22 00:00:00-05:00,8.350000381469727,8.350000381469727,7.900000095367432,7.900000095367432,132900,0.0,0.0,ADUS,1wk
2010-03-01 00:00:00-05:00,7.920000076293945,8.15999984741211,7.900000095367432,8.0,99800,0.0,0.0,ADUS,1wk
2010-03-08 00:00:00-05:00,8.0,8.329999923706055,7.829999923706055,8.199999809265137,338600,0.0,0.0,ADUS,1wk
2010-03-15 00:00:00-04:00,8.199999809265137,8.899999618530273,6.199999809265137,6.300000190734863,1413100,0.0,0.0,ADUS,1wk
2010-03-22 00:00:00-04:00,6.300000190734863,6.5,6.150000095367432,6.199999809265137,421900,0.0,0.0,ADUS,1wk
2010-03-29 00:00:00-04:00,6.170000076293945,6.170000076293945,5.519999980926514,5.619999885559082,514000,0.0,0.0,ADUS,1wk
2010-04-05 00:00:00-04:00,5.590000152587891,5.960000038146973,5.53000020980835,5.869999885559082,309000,0.0,0.0,ADUS,1wk
2010-04-12 00:00:00-04:00,5.760000228881836,5.980000019073486,5.440000057220459,5.559999942779541,353300,0.0,0.0,ADUS,1wk
2010-04-19 00:00:00-04:00,5.510000228881836,5.880000114440918,5.440000057220459,5.570000171661377,156800,0.0,0.0,ADUS,1wk
2010-04-26 00:00:00-04:00,5.53000020980835,5.550000190734863,4.639999866485596,4.840000152587891,463500,0.0,0.0,ADUS,1wk
2010-05-03 00:00:00-04:00,4.849999904632568,5.369999885559082,4.800000190734863,5.269999980926514,119900,0.0,0.0,ADUS,1wk
2010-05-10 00:00:00-04:00,5.980000019073486,6.039999961853027,5.039999961853027,6.0,144600,0.0,0.0,ADUS,1wk
2010-05-17 00:00:00-04:00,6.050000190734863,6.150000095367432,5.650000095367432,6.050000190734863,209700,0.0,0.0,ADUS,1wk
2010-05-24 00:00:00-04:00,6.059999942779541,6.28000020980835,6.0,6.179999828338623,134800,0.0,0.0,ADUS,1wk
2010-05-31 00:00:00-04:00,6.099999904632568,6.170000076293945,6.0,6.050000190734863,63400,0.0,0.0,ADUS,1wk
2010-06-07 00:00:00-04:00,6.0,6.059999942779541,5.630000114440918,5.840000152587891,55700,0.0,0.0,ADUS,1wk
2010-06-14 00:00:00-04:00,5.880000114440918,5.940000057220459,5.510000228881836,5.920000076293945,28200,0.0,0.0,ADUS,1wk
2010-06-21 00:00:00-04:00,5.920000076293945,5.920000076293945,5.5,5.920000076293945,40800,0.0,0.0,ADUS,1wk
2010-06-28 00:00:00-04:00,5.610000133514404,6.25,5.510000228881836,5.739999771118164,42800,0.0,0.0,ADUS,1wk
2010-07-05 00:00:00-04:00,5.579999923706055,5.75,5.059999942779541,5.130000114440918,53300,0.0,0.0,ADUS,1wk
2010-07-12 00:00:00-04:00,5.230000019073486,5.590000152587891,5.010000228881836,5.320000171661377,8900,0.0,0.0,ADUS,1wk
2010-07-19 00:00:00-04:00,5.480000019073486,5.480000019073486,4.849999904632568,4.949999809265137,19500,0.0,0.0,ADUS,1wk
2010-07-26 00:00:00-04:00,5.0,5.570000171661377,4.449999809265137,5.28000020980835,111900,0.0,0.0,ADUS,1wk
2010-08-02 00:00:00-04:00,5.300000190734863,5.5,5.070000171661377,5.269999980926514,28900,0.0,0.0,ADUS,1wk
2010-08-09 00:00:00-04:00,5.28000020980835,5.28000020980835,4.579999923706055,4.639999866485596,34600,0.0,0.0,ADUS,1wk
2010-08-16 00:00:00-04:00,4.630000114440918,5.21999979019165,4.630000114440918,4.940000057220459,15400,0.0,0.0,ADUS,1wk
2010-08-23 00:00:00-04:00,4.929999828338623,5.159999847412109,4.699999809265137,5.130000114440918,13200,0.0,0.0,ADUS,1wk
2010-08-30 00:00:00-04:00,5.079999923706055,5.230000019073486,4.5,4.599999904632568,60900,0.0,0.0,ADUS,1wk
2010-09-06 00:00:00-04:00,4.590000152587891,5.0,4.260000228881836,4.599999904632568,57100,0.0,0.0,ADUS,1wk
2010-09-13 00:00:00-04:00,4.599999904632568,4.849999904632568,4.5,4.800000190734863,161100,0.0,0.0,ADUS,1wk
2010-09-20 00:00:00-04:00,4.760000228881836,4.760000228881836,4.349999904632568,4.369999885559082,105500,0.0,0.0,ADUS,1wk
2010-09-27 00:00:00-04:00,4.380000114440918,4.380000114440918,3.6500000953674316,3.799999952316284,374700,0.0,0.0,ADUS,1wk
2010-10-04 00:00:00-04:00,3.799999952316284,4.03000020980835,3.690000057220459,3.880000114440918,137300,0.0,0.0,ADUS,1wk
2010-10-11 00:00:00-04:00,3.9100000858306885,3.950000047683716,3.549999952316284,3.6500000953674316,212000,0.0,0.0,ADUS,1wk
