date,open,high,low,close,volume,dividends,stock_splits,ticker,interval
2023-09-01 00:00:00-04:00,9000.0,11000.0,5000.0,7000.0,7,0.0,0.0,ATPC,1mo
2023-10-01 00:00:00-04:00,7000.0,18000.0,735.0,770.0,8088,0.0,0.0,ATPC,1mo
2023-11-01 00:00:00-04:00,799.0,1400.0,785.0,960.0,2385,0.0,0.0,ATPC,1mo
2023-12-01 00:00:00-05:00,960.0,960.0,587.0,639.0,1287,0.0,0.0,ATPC,1mo
2024-01-01 00:00:00-05:00,639.0,980.0,420.0,642.0,47837,0.0,0.0,ATPC,1mo
2024-02-01 00:00:00-05:00,597.0,650.0,325.0,367.0,5281,0.0,0.0,ATPC,1mo
2024-03-01 00:00:00-05:00,358.0,420.0,330.0,330.0,1740,0.0,0.0,ATPC,1mo
2024-04-01 00:00:00-04:00,337.0,337.0,210.0,248.0,1291,0.0,0.0,ATPC,1mo
2024-05-01 00:00:00-04:00,248.0,328.0,214.0,250.0,5060,0.0,0.0,ATPC,1mo
2024-06-01 00:00:00-04:00,257.0,400.0,202.0,212.0,8883,0.0,0.0,ATPC,1mo
2024-07-01 00:00:00-04:00,212.0,340.0,77.0,116.0,351612,0.0,0.0,ATPC,1mo
2024-08-01 00:00:00-04:00,117.0,245.0,79.0,127.5,1849794,0.0,0.05,ATPC,1mo
2024-09-01 00:00:00-04:00,106.0,147.5,68.0,97.5,1900394,0.0,0.0,ATPC,1mo
2024-10-01 00:00:00-04:00,97.5,112.0,76.0,85.0,109712,0.0,0.0,ATPC,1mo
2024-11-01 00:00:00-04:00,87.0,88.1500015258789,69.5,77.0,12448,0.0,0.0,ATPC,1mo
2024-12-01 00:00:00-05:00,77.5,81.5,53.45000076293945,59.0,104116,0.0,0.0,ATPC,1mo
2025-01-01 00:00:00-05:00,61.5,146.5,56.0,70.0,1807932,0.0,0.0,ATPC,1mo
2025-02-01 00:00:00-05:00,70.5,113.5,45.0,50.5,1602784,0.0,0.0,ATPC,1mo
2025-03-01 00:00:00-05:00,50.5,66.0,47.0,64.0,34284,0.0,0.0,ATPC,1mo
2025-04-01 00:00:00-04:00,60.5,128.25,50.0,115.0,934266,0.0,0.0,ATPC,1mo
2025-05-01 00:00:00-04:00,114.0,123.0,60.45000076293945,86.5,75744,0.0,0.0,ATPC,1mo
2025-06-01 00:00:00-04:00,85.5,85.5,62.5,66.0,26084,0.0,0.0,ATPC,1mo
2025-07-01 00:00:00-04:00,67.0,75.25,62.0,64.0,19486,0.0,0.0,ATPC,1mo
2025-08-01 00:00:00-04:00,62.5,72.0,60.0,65.5,20344,0.0,0.0,ATPC,1mo
2025-09-01 00:00:00-04:00,65.55000305175781,69.0,61.0,63.25,8026,0.0,0.0,ATPC,1mo
2025-10-01 00:00:00-04:00,62.5,68.5,55.0,60.0,19540,0.0,0.0,ATPC,1mo
2025-11-01 00:00:00-04:00,61.0,72.5,59.0,64.5,15212,0.0,0.0,ATPC,1mo
2025-12-01 00:00:00-05:00,67.5,73.5,2.4000000953674316,5.349999904632568,32435318,0.0,0.0,ATPC,1mo
2026-01-01 00:00:00-05:00,5.25,7.300000190734863,2.75,3.549999952316284,14083984,0.0,0.0,ATPC,1mo
2026-02-01 00:00:00-05:00,4.75,4.75,1.7869999408721924,1.9199999570846558,3041334,0.0,0.02,ATPC,1mo
2026-03-01 00:00:00-05:00,1.7599999904632568,6.300000190734863,1.7209999561309814,2.630000114440918,119201800,0.0,0.0,ATPC,1mo
2026-04-01 00:00:00-04:00,2.6700000762939453,3.4700000286102295,2.450000047683716,2.490000009536743,1091953,0.0,0.0,ATPC,1mo
